,Bus,Headway,Time
0,NA,NA,23:12:34
1,bus.2,80.73999999999862,23:20:18
2,bus.1,83.24999999999969,23:20:22
3,bus.2,36.32999999999811,23:20:23
4,bus.1,59.199999999999875,23:20:27
5,bus.2,30.779999999998125,23:20:28
6,bus.1,53.64999999999978,23:20:32
7,bus.2,25.239999999998133,23:20:32
8,bus.1,31.44999999999996,23:20:37
9,bus.2,16.851,23:20:37
10,bus.1,27.749999999999915,23:20:42
11,bus.2,16.851,23:20:42
12,bus.1,31.449999999999903,23:20:47
13,bus.2,16.851,23:20:47
14,bus.1,38.84999999999988,23:20:52
15,bus.2,17.829999999998222,23:20:52
16,bus.1,27.749999999999915,23:20:56
17,bus.2,16.851,23:20:57
18,bus.1,33.2999999999999,23:21:01
19,bus.2,16.851,23:21:02
20,bus.1,20.349999999999937,23:21:06
21,bus.2,16.851,23:21:07
22,bus.1,16.851,23:21:11
23,bus.2,16.851,23:21:12
24,bus.1,16.851,23:21:16
25,bus.2,16.851,23:21:17
26,bus.0,71.47999999999851,23:21:19
27,bus.1,25.89999999999992,23:21:21
28,bus.2,16.851,23:21:22
29,bus.5,85.09999999999968,23:21:23
30,bus.0,64.08999999999841,23:21:24
31,bus.1,70.29999999999978,23:21:26
32,bus.2,27.07999999999808,23:21:27
33,bus.5,79.54999999999981,23:21:28
34,bus.0,56.67999999999833,23:21:29
35,bus.1,55.49999999999983,23:21:31
36,bus.2,16.851,23:21:32
37,bus.5,61.049999999999756,23:21:33
38,bus.0,47.429999999998216,23:21:34
39,bus.1,33.2999999999999,23:21:36
40,bus.2,16.851,23:21:37
41,bus.5,55.499999999999886,23:21:38
42,bus.0,40.039999999998116,23:21:38
43,bus.1,31.449999999999903,23:21:42
44,bus.2,16.851,23:21:42
45,bus.5,44.39999999999981,23:21:43
46,bus.0,30.779999999998125,23:21:43
47,bus.1,53.649999999999835,23:21:47
48,bus.2,25.239999999998076,23:21:47
49,bus.5,33.299999999999955,23:21:47
50,bus.0,25.229999999998142,23:21:48
51,bus.1,49.94999999999985,23:21:51
52,bus.2,23.379999999998205,23:21:52
53,bus.5,27.749999999999858,23:21:52
54,bus.0,16.851,23:21:53
55,bus.1,40.699999999999875,23:21:56
56,bus.2,17.82999999999811,23:21:57
57,bus.5,20.349999999999937,23:21:57
58,bus.0,16.851,23:21:58
59,bus.1,31.449999999999903,23:22:01
60,bus.2,16.851,23:22:02
61,bus.5,22.199999999999932,23:22:02
62,bus.0,16.851,23:22:03
63,bus.1,20.349999999999937,23:22:06
64,bus.2,16.851,23:22:07
65,bus.5,20.349999999999937,23:22:07
66,bus.0,16.851,23:22:07
67,bus.1,16.851,23:22:11
68,bus.2,16.851,23:22:12
69,bus.5,16.851,23:22:12
70,bus.0,16.851,23:22:12
71,bus.1,16.851,23:22:16
72,bus.2,16.851,23:22:17
73,bus.5,20.349999999999937,23:22:17
74,bus.0,16.851,23:22:17
75,bus.1,29.59999999999991,23:22:21
76,bus.2,16.851,23:22:22
77,bus.5,22.199999999999932,23:22:22
78,bus.0,16.851,23:22:22
79,bus.1,96.1999999999997,23:22:26
80,bus.5,24.049999999999926,23:22:27
81,bus.0,16.851,23:22:27
82,bus.2,64.07999999999836,23:22:27
83,bus.1,81.39999999999975,23:22:31
84,bus.5,20.349999999999937,23:22:31
85,bus.0,16.851,23:22:32
86,bus.2,40.03999999999817,23:22:32
87,bus.1,61.04999999999981,23:22:36
88,bus.0,16.851,23:22:37
89,bus.2,17.82999999999811,23:22:37
90,bus.5,22.199999999999932,23:22:41
91,bus.1,36.999999999999886,23:22:41
92,bus.0,16.851,23:22:41
93,bus.2,16.851,23:22:42
94,bus.5,20.349999999999937,23:22:46
95,bus.0,16.851,23:22:46
96,bus.1,59.19999999999982,23:22:46
97,bus.2,21.539999999998088,23:22:47
98,bus.5,20.349999999999937,23:22:50
99,bus.0,16.851,23:22:51
100,bus.1,57.349999999999824,23:22:51
101,bus.2,30.779999999998182,23:22:52
102,bus.5,16.851,23:22:55
103,bus.1,53.649999999999835,23:22:56
104,bus.0,16.851,23:22:56
105,bus.2,25.229999999998086,23:22:57
106,bus.5,22.199999999999932,23:23:01
107,bus.1,42.54999999999987,23:23:01
108,bus.0,16.851,23:23:01
109,bus.2,16.851,23:23:02
110,bus.5,36.999999999999886,23:23:06
111,bus.0,16.851,23:23:06
112,bus.1,16.851,23:23:06
113,bus.2,16.851,23:23:07
114,bus.5,22.199999999999932,23:23:11
115,bus.0,16.851,23:23:11
116,bus.1,16.851,23:23:12
117,bus.2,16.851,23:23:12
118,bus.5,24.049999999999926,23:23:16
119,bus.0,16.851,23:23:17
120,bus.1,16.851,23:23:17
121,bus.2,16.851,23:23:18
122,bus.5,22.199999999999932,23:23:21
123,bus.0,16.851,23:23:22
124,bus.1,61.04999999999981,23:23:22
125,bus.2,25.2299999999982,23:23:23
126,bus.5,33.2999999999999,23:23:26
127,bus.0,16.851,23:23:26
128,bus.1,77.69999999999976,23:23:27
129,bus.2,38.179999999998046,23:23:28
130,bus.5,22.199999999999932,23:23:31
131,bus.0,16.851,23:23:31
132,bus.1,59.19999999999982,23:23:32
133,bus.2,16.851,23:23:33
134,bus.5,27.749999999999915,23:23:36
135,bus.0,17.8399999999981,23:23:36
136,bus.1,40.699999999999875,23:23:37
137,bus.2,16.851,23:23:38
138,bus.5,22.199999999999932,23:23:41
139,bus.0,16.851,23:23:41
140,bus.1,40.699999999999875,23:23:42
141,bus.2,16.851,23:23:43
142,bus.5,20.349999999999937,23:23:45
143,bus.0,16.851,23:23:46
144,bus.1,61.04999999999981,23:23:47
145,bus.2,19.689999999998093,23:23:48
146,bus.5,20.349999999999937,23:23:50
147,bus.0,16.851,23:23:51
148,bus.1,62.89999999999981,23:23:53
149,bus.2,32.62999999999818,23:23:53
150,bus.5,16.851,23:23:55
151,bus.0,16.851,23:23:56
152,bus.1,59.19999999999982,23:23:58
153,bus.2,36.32999999999805,23:23:58
154,bus.5,22.199999999999932,23:24:01
155,bus.0,16.851,23:24:01
156,bus.1,59.19999999999982,23:24:03
157,bus.2,25.23999999999819,23:24:04
158,bus.5,29.59999999999991,23:24:06
159,bus.0,16.851,23:24:06
160,bus.1,27.749999999999915,23:24:08
161,bus.2,16.851,23:24:09
162,bus.5,22.199999999999932,23:24:11
163,bus.0,16.851,23:24:12
164,bus.1,16.851,23:24:13
165,bus.2,16.851,23:24:14
166,bus.5,16.851,23:24:16
167,bus.0,16.851,23:24:17
168,bus.1,16.851,23:24:19
169,bus.2,16.851,23:24:19
170,bus.5,22.199999999999932,23:24:21
171,bus.0,16.851,23:24:22
172,bus.1,42.54999999999987,23:24:24
173,bus.2,16.851,23:24:25
174,bus.5,31.449999999999903,23:24:26
175,bus.0,16.851,23:24:27
176,bus.1,83.24999999999974,23:24:29
177,bus.2,40.02999999999807,23:24:30
178,bus.5,22.199999999999932,23:24:31
179,bus.0,16.851,23:24:32
180,bus.1,62.89999999999981,23:24:34
181,bus.2,17.839999999998213,23:24:35
