,HeadwayRew,SD,Reward,Action
0,-2.421000000000049,-4.392291226936373,-6.813291226936422,2
1,-5.127000000000043,-4.786439177509728,-9.913439177509773,2
2,-291.9640000000002,-285.97759624760045,-577.9415962476007,2
3,-86.1360000000001,-453.4086457049534,-539.5446457049535,2
4,-7.757999999999901,-648.7405816057927,-656.4985816057927,2
5,-366.81600000000014,-636.7036952582856,-1003.5196952582858,2
6,-58.05599999999999,-848.2874486608628,-906.3434486608628,2
7,-66.13200000000002,-444.5119908393923,-510.6439908393923,2
8,-15.5579999999999,-120.001333325926,-135.5593333259259,2
9,-396.82800000000003,-172.81076355366295,-569.638763553663,2
10,-1.9559999999999944,-362.45948126039633,-364.41548126039635,2
11,-59.250000000000064,-445.95035099835445,-505.2003509983545,2
12,-120.82200000000006,-578.2862228650754,-699.1082228650755,2
13,-480.03599999999994,-579.1754330271806,-1059.2114330271806,2
14,-68.96699999999996,-724.5311004750283,-793.4981004750283,2
15,-8.04600000000005,-651.8150930713063,-659.8610930713063,2
16,-4.8,-88.7058747897918,-93.5058747897918,2
17,-160.8300000000001,-103.19023963319185,-264.020239633192,2
18,-630.0600000000001,-154.3828538263092,-784.4428538263093,2
19,-8.04600000000005,-281.4983165530875,-289.5443165530875,2
20,-31.962000000000057,-374.01878146543515,-405.9807814654352,2
21,-426.7799999999999,-430.2787145818652,-857.0587145818652,2
22,-39.246000000000045,-493.6394219355752,-532.8854219355753,2
23,-140.82600000000002,-585.0984447082388,-725.9244447082389,2
24,-699.438,-643.8050947297638,-1343.243094729764,2
25,-58.05599999999999,-908.4374931104994,-966.4934931104995,2
26,-51.96600000000014,-855.4163872381425,-907.3823872381427,2
27,-483.9479999999999,-597.6057897979235,-1081.5537897979234,2
28,-31.446000000000048,-289.52452208558935,-320.9705220855894,2
29,-116.14200000000002,-352.6655639554279,-468.8075639554279,2
30,-705.9378,-365.8999665968222,-1071.8377665968223,2
31,-68.05800000000004,-546.2347836680568,-614.2927836680568,2
32,-71.9700000000001,-688.8739571858475,-760.8439571858477,2
33,-503.946,-366.0393588430379,-869.985358843038,2
34,-60.81000000000008,-379.3762190168957,-440.18621901689573,2
35,-116.14200000000002,-185.52379901241784,-301.6657990124179,2
36,-714.3810666666667,-204.6723234831715,-919.0533901498382,2
37,-88.06199999999998,-331.4592115010366,-419.52121150103653,2
38,-142.74775555555564,-460.54613473811963,-603.2938902936753,2
39,-60.81000000000008,-308.6546919923442,-369.4646919923443,2
40,-574.6361666666666,-322.36800744215026,-897.0041741088169,2
41,-131.46600000000007,-395.8125187509865,-527.2785187509866,2
42,-755.0387999999999,-411.01943046797953,-1166.0582304679795,2
43,-38.05200000000004,-550.148209323835,-588.200209323835,2
44,-171.8385000000001,-725.2694457157899,-897.1079457157899,2
45,-62.55899999999999,-744.142718539633,-806.701718539633,2
46,-553.962,-351.85434486446235,-905.8163448644623,2
47,-115.2240000000001,-120.27119355855748,-235.4951935585576,2
48,-744.7869999999999,-137.70649948350297,-882.4934994835029,2
49,-68.05800000000004,-262.53885849950336,-330.5968584995034,2
50,-158.982,-319.50150582152537,-478.48350582152534,2
51,-553.956,-192.9529706661416,-746.9089706661416,2
52,-130.8240000000001,-238.34269445485427,-369.16669445485434,2
53,-718.3446666666667,-275.56725131989106,-993.9119179865578,2
54,-8.288999999999897,-437.19337699568246,-445.48237699568233,2
55,-8.045999999999912,-619.9784834976131,-628.024483497613,2
56,-293.8049999999999,-681.047180613959,-974.8521806139588,2
57,-543.9599999999999,-723.1674771448174,-1267.1274771448175,2
58,-689.4359999999999,-556.9952922202805,-1246.4312922202803,2
59,-28.049999999999862,-460.778380086952,-488.8283800869518,2
60,-116.14199999999995,-532.4370009681896,-648.5790009681896,2
