,HeadwayRew,SD,Reward,Action
0,-0.0,-4.786439177509728,-4.786439177509728,0
1,-37.0019999999999,-658.489688605676,-695.4916886056759,0
2,-12.40199999999977,-687.3897188317233,-699.7917188317231,0
3,-36.998999999999974,-562.4028321012933,-599.4018321012933,0
4,-30.81000000000008,-146.749385764378,-177.55938576437808,0
5,-12.395999999999844,-188.34489640019453,-200.74089640019437,0
6,-27.005999999999926,-780.7042141553997,-807.7102141553996,0
7,-20.802000000000042,-83.3172984572965,-104.11929845729654,0
8,-30.79800000000009,-53.37648254511428,-84.17448254511437,0
9,-12.395999999999775,-74.26977851050857,-86.66577851050835,0
10,-37.0019999999999,-463.669518323366,-500.6715183233659,0
11,-20.79600000000005,-476.7365205226048,-497.53252052260484,0
12,-0.9555000000000518,-522.2702354996777,-523.2257354996777,0
13,-32.552999999999926,-537.539067314078,-570.0920673140779,0
14,-12.40199999999977,-601.2120942082105,-613.6140942082103,0
15,-184.026,-531.4322994407556,-715.4582994407556,0
16,-60.816000000000074,-408.3919957861836,-469.2079957861837,0
17,-33.995999999999775,-485.91085144865366,-519.9068514486535,0
18,-30.81000000000008,-519.2781528237059,-550.088152823706,0
19,-12.395999999999844,-574.7304411635076,-587.1264411635075,0
20,-184.02599999999987,-737.8294315083941,-921.855431508394,0
21,-40.80000000000007,-823.4342414546531,-864.2342414546532,0
22,-37.0019999999999,-935.1106191248178,-972.1126191248178,0
23,-10.794000000000006,-890.7246612855301,-901.5186612855301,0
24,-12.395999999999775,-930.8154537226425,-943.2114537226422,0
25,-184.03199999999995,-380.27300719351615,-564.3050071935161,0
26,-26.996999999999932,-265.9600387694028,-292.95703876940274,0
27,-20.80800000000004,-287.1716076185497,-307.9796076185497,0
28,-20.802000000000042,-320.78640176222484,-341.58840176222486,0
29,-12.40199999999977,-44.099886621169446,-56.50188662116922,0
30,-144.17099999999996,-364.44637313175303,-508.61737313175297,0
31,-12.554999999999904,-378.7050728762716,-391.26007287627147,0
32,-20.802000000000042,-408.2332816199853,-429.0352816199853,0
33,-30.79800000000009,-278.3414429956288,-309.13944299562894,0
34,-30.81000000000008,-335.1379201993645,-365.94792019936455,0
35,-12.395999999999844,-342.94623323327073,-355.3422332332706,0
36,-47.00999999999994,-842.4799582185917,-889.4899582185917,0
37,-110.8199999999999,-888.989738723432,-999.8097387234319,0
38,-20.802000000000042,-541.7846917569951,-562.5866917569952,0
39,-50.80200000000004,-291.06345050902945,-341.8654505090295,0
40,-12.395999999999775,-144.15184894948646,-156.54784894948625,0
41,-44.150999999999954,-576.6747745094765,-620.8257745094764,0
42,-42.55050000000001,-594.6815198070309,-637.232019807031,0
43,-110.82000000000002,-460.9728649521816,-571.7928649521816,0
44,-30.81000000000008,-491.92487231283604,-522.7348723128362,0
45,-50.808000000000035,-521.3703311679926,-572.1783311679926,0
46,-12.40199999999977,-135.60617816145233,-148.0081781614521,0
47,-74.1614999999999,-566.2424323752347,-640.4039323752346,0
48,-52.556999999999945,-585.3424296939356,-637.8994296939355,0
49,-20.79600000000005,-517.2829303195689,-538.0789303195689,0
50,-80.82000000000002,-421.6002253320081,-502.42022533200816,0
