,HeadwayRew,SD,Reward,Action
0,-0.0,-4.786439177509728,-4.786439177509728,0
1,-37.0019999999999,-658.489688605676,-695.4916886056759,0
2,-12.40199999999977,-687.3897188317233,-699.7917188317231,0
3,-36.998999999999974,-562.0639455514727,-599.0629455514727,0
4,-30.81000000000008,-144.47200420842788,-175.28200420842796,0
5,-12.395999999999844,-186.07692555022027,-198.4729255502201,0
6,-37.00799999999997,-769.4312935899839,-806.4392935899838,0
7,-10.800000000000068,-83.12610901515842,-93.92610901515849,0
8,-50.80200000000004,-97.41868403956194,-148.22068403956197,0
9,-12.395999999999775,-86.13355908123151,-98.52955908123128,0
10,-16.997999999999955,-461.2656067820362,-478.2636067820361,0
11,-60.80400000000009,-493.98884827718757,-554.7928482771877,0
12,-74.0039999999998,-522.1202117860939,-596.1242117860937,0
13,-12.395999999999775,-552.9401856339335,-565.3361856339333,0
14,-12.40199999999977,-617.752935151982,-630.1549351519818,0
15,-184.02599999999987,-544.1109558005813,-728.1369558005812,0
16,-30.81000000000008,-403.05397901521826,-433.8639790152183,0
17,-30.804000000000016,-460.66094907209146,-491.4649490720915,0
18,-84.01199999999984,-491.16672322135184,-575.1787232213517,0
19,-12.40199999999977,-522.8474464145562,-535.249446414556,0
20,-12.395999999999844,-585.174636801319,-597.5706368013189,0
21,-174.02399999999997,-540.61820169136,-714.64220169136,0
22,-60.80400000000009,-575.1050647973425,-635.9090647973426,0
23,-94.00799999999983,-696.4592514202744,-790.4672514202742,0
24,-0.9555000000000518,-716.5223443829229,-717.477844382923,0
25,-10.646999999999935,-736.8611538139326,-747.5081538139325,0
26,-12.395999999999775,-585.3950565406427,-597.7910565406424,0
27,-244.04399999999993,-370.4064959233602,-614.4504959233601,0
28,-40.80600000000006,-263.70020857026265,-304.5062085702627,0
29,-10.794000000000006,-325.44340351110037,-336.23740351110035,0
30,-77.00999999999995,-352.1610553268049,-429.17105532680483,0
31,-12.40199999999977,-68.81533259383406,-81.21733259383383,0
32,-244.03799999999987,-346.562138087177,-590.6001380871769,0
33,-40.812000000000054,-436.813105216509,-477.62510521650904,0
34,-24.146999999999867,-286.64274900223023,-310.7897490022301,0
35,-82.56899999999993,-299.8765282949338,-382.44552829493375,0
36,-12.395999999999844,-313.40011167834643,-325.7961116783463,0
37,-12.395999999999844,-340.44799896606827,-352.8439989660681,0
38,-194.028,-460.2924130979736,-654.3204130979736,0
39,-30.79800000000009,-508.2806792402096,-539.0786792402097,0
40,-33.995999999999846,-541.8060538606043,-575.8020538606041,0
41,-90.81000000000007,-576.5741775541306,-667.3841775541307,0
42,-12.395999999999775,-150.74618476837887,-163.14218476837866,0
43,-174.02999999999983,-534.663469441812,-708.6934694418119,0
44,-10.800000000000068,-567.1179879198174,-577.9179879198175,0
45,-24.15299999999986,-583.7332143672787,-607.8862143672786,0
46,-10.65299999999986,-600.6124087592226,-611.2654087592225,0
47,-100.81800000000005,-622.6120773715276,-723.4300773715277,0
48,-12.40199999999977,-163.8766304266719,-176.27863042667167,0
49,-184.179,-645.0788091388525,-829.2578091388525,0
50,-12.554999999999904,-665.5105174893098,-678.0655174893097,0
