,HeadwayRew,SD,Reward,Action
0,-0.0,-4.786439177509728,-4.786439177509728,0
1,-37.0079999999999,-658.489688605676,-695.4976886056759,0
2,-12.40199999999977,-687.3897188317233,-699.7917188317231,0
3,-37.004999999999974,-562.4028321012933,-599.4078321012933,0
4,-43.205999999999854,-146.749385764378,-189.95538576437784,0
5,-12.395999999999844,-188.34489640019453,-200.74089640019437,0
6,-37.00799999999997,-780.7042141553997,-817.7122141553996,0
7,-23.20199999999984,-83.03787623060266,-106.2398762306025,0
8,-33.203999999999816,-97.41868403956194,-130.62268403956176,0
9,-12.395999999999775,-68.77354142400986,-81.16954142400964,0
10,-27.005999999999926,-461.2656067820362,-488.2716067820361,0
11,-53.207999999999835,-462.10996767243864,-515.3179676724385,0
12,-13.351499999999827,-537.4007350199663,-550.7522350199662,0
13,-41.45699999999988,-552.9401856339335,-594.3971856339334,0
14,-12.40199999999977,-617.752935151982,-630.1549351519818,0
15,-184.02599999999987,-538.2456801705168,-722.2716801705167,0
16,-33.203999999999816,-405.9398354436283,-439.1438354436281,0
17,-53.207999999999835,-450.8875136882813,-504.09551368828113,0
18,-47.00999999999994,-532.437367208576,-579.447367208576,0
19,-12.395999999999844,-606.9759980610619,-619.3719980610617,0
20,-154.17299999999994,-797.7489015974888,-951.9219015974888,0
21,-71.4614999999999,-818.1814217451341,-889.642921745134,0
22,-43.99799999999982,-935.0293447563854,-979.0273447563852,0
23,-12.395999999999775,-980.883973204216,-993.2799732042157,0
24,-63.20999999999981,-870.850273519443,-934.0602735194428,0
25,-12.395999999999775,-992.5682842449122,-1004.9642842449119,0
26,-144.17549999999994,-429.0586906240217,-573.2341906240217,0
27,-51.458999999999925,-444.5279881202333,-495.98698812023326,0
28,-54.00599999999986,-297.59334483299335,-351.5993448329932,0
29,-12.40199999999977,-322.94883495687054,-335.3508349568703,0
30,-63.20999999999981,-351.53971642223047,-414.7497164222303,0
31,-12.40199999999977,-58.17860431464475,-70.58060431464452,0
32,-134.16899999999993,-400.6387178271993,-534.8077178271992,0
33,-31.454999999999902,-415.87185392725115,-447.3268539272511,0
34,-37.004999999999974,-275.883236170667,-312.88823617066697,0
35,-53.207999999999835,-330.73427400255935,-383.9422740025592,0
36,-12.395999999999844,-343.1550653697085,-355.55106536970834,0
37,-134.16899999999987,-691.20719758984,-825.3761975898399,0
38,-11.602499999999917,-711.36434796492,-722.9668479649199,0
39,-21.45299999999986,-731.8298367790153,-753.2828367790152,0
40,-43.20599999999979,-773.6965203201806,-816.9025203201804,0
41,-53.207999999999835,-304.03333698790334,-357.2413369879032,0
42,-12.395999999999775,-150.42938542718306,-162.82538542718285,0
43,-14.297999999999956,-665.4335954849289,-679.7315954849289,0
44,-11.602499999999917,-684.6168920563449,-696.2193920563449,0
45,-51.458999999999925,-704.056578376735,-755.515578376735,0
46,-83.21399999999983,-567.6964319853427,-650.9104319853425,0
47,-12.40199999999977,-172.22214014334963,-184.6241401433494,0
48,-17.00399999999988,-660.7100725734398,-677.7140725734397,0
49,-33.203999999999816,-702.2600373081186,-735.4640373081185,0
50,-33.203999999999816,-562.0263684996363,-595.2303684996361,0
51,-93.2159999999998,-449.1550722065699,-542.3710722065697,0
52,-12.395999999999844,-63.66924078565898,-76.06524078565883,0
53,-194.18099999999984,-116.83269614662196,-311.0136961466218,0
54,-21.45149999999983,-125.17601829246507,-146.6275182924649,0
55,-43.205999999999854,-104.29336295064782,-147.49936295064768,0
56,-23.20199999999984,-115.16679208869196,-138.3687920886918,0
57,-103.21799999999985,-131.77403217461153,-234.99203217461138,0
58,-13.95599999999979,-163.60791545643508,-177.56391545643487,0
59,-204.18749999999991,-572.082731973464,-776.2702319734639,0
60,-31.454999999999902,-590.4360761335641,-621.8910761335641,0
61,-43.205999999999854,-574.7602736987154,-617.9662736987153,0
62,-43.205999999999854,-437.6688385323112,-480.87483853231106,0
63,-83.21399999999983,-459.26076349813394,-542.4747634981338,0
64,-17.081999999999812,-597.4003784918639,-614.4823784918636,0
65,-214.03199999999987,-735.7189341045942,-949.7509341045941,0
66,-33.203999999999816,-777.0158549790917,-810.2198549790916,0
67,-43.20599999999979,-465.5104187878076,-508.7164187878074,0
68,-43.205999999999854,-530.446515263844,-573.652515263844,0
69,-73.21199999999985,-597.4858240996183,-670.6978240996182,0
70,-12.395999999999844,-726.9723172171002,-739.3683172171001,0
71,-194.028,-864.2632077221745,-1058.2912077221745,0
72,-13.352999999999861,-783.2632443821171,-796.616244382117,0
73,-41.456999999999944,-792.8281332602223,-834.2851332602223,0
74,-43.20599999999979,-807.8844939442492,-851.090493944249,0
75,-53.207999999999835,-883.8944255710384,-937.1024255710382,0
76,-12.395999999999775,-984.6650981707212,-997.0610981707209,0
77,-174.02999999999997,-708.5763402767552,-882.6063402767552,0
78,-84.15749999999989,-751.1258830730188,-835.2833830730187,0
79,-10.646999999999865,-626.7817660256418,-637.4287660256416,0
80,-47.00999999999994,-129.94981937484772,-176.95981937484765,0
81,-12.40199999999977,-175.8748134327369,-188.27681343273665,0
82,-144.01799999999983,-701.9205296897934,-845.9385296897932,0
83,-64.1549999999999,-722.6327874899918,-786.7877874899916,0
84,-10.645499999999833,-743.6001875261254,-754.2456875261253,0
85,-13.352999999999861,-827.0628647341279,-840.4158647341277,0
86,-51.458999999999925,-848.3573009056975,-899.8163009056974,0
87,-12.395999999999844,-793.8017132760549,-806.1977132760547,0
88,-144.1709999999999,-447.79009467482524,-591.9610946748252,0
89,-57.01199999999992,-462.7186077952777,-519.7306077952776,0
90,-13.352999999999861,-565.942834765334,-579.2958347653339,0
91,-61.45949999999986,-583.2739579305766,-644.7334579305764,0
92,-12.395999999999775,-204.20416798445183,-216.60016798445162,0
93,-43.997999999999884,-666.5207573661904,-710.5187573661904,0
94,-53.207999999999835,-708.0662743620042,-761.274274362004,0
95,-123.2159999999998,-729.3259559346561,-852.5419559346559,0
96,-13.351499999999827,-829.4825589218592,-842.8340589218591,0
97,-71.46299999999994,-852.5261514398776,-923.9891514398776,0
98,-12.40199999999977,-812.8863033796438,-825.2883033796436,0
99,-74.15699999999994,-402.65433066092805,-476.811330660928,0
100,-21.445499999999832,-417.24331696931415,-438.68881696931396,0
101,-113.2139999999999,-447.2082624460331,-560.422262446033,0
102,-84.16499999999992,-506.0586351621937,-590.2236351621937,0
103,-10.65299999999986,-522.968020054764,-533.6210200547639,0
104,-12.395999999999844,-418.69235589975716,-431.088355899757,0
105,-114.01799999999992,-799.1076272943465,-913.1256272943464,0
106,-13.345499999999832,-889.5124182507079,-902.8579182507077,0
107,-111.45900000000006,-912.6503163862926,-1024.1093163862927,0
108,-94.15949999999987,-964.7562749212881,-1058.915774921288,0
109,-10.646999999999865,-996.9906831170601,-1007.63768311706,0
110,-12.395999999999775,-844.3360600034929,-856.7320600034926,0
111,-164.02199999999993,-507.8719906520627,-671.8939906520627,0
112,-33.191999999999894,-639.0220201387604,-672.2140201387602,0
113,-104.16299999999994,-678.8152980663363,-782.9782980663362,0
114,-10.645499999999833,-711.2657137494789,-721.9112137494787,0
115,-12.40199999999977,-581.6459595168028,-594.0479595168026,0
