,meanWaitTime,action
0,0.0,No action
1,11.083333333333334,Hold
2,12.083333333333334,Hold
3,22.25,No action
4,29.0,Hold
5,29.916666666666668,Hold
6,6.25,No action
7,15.333333333333334,Hold
8,15.916666666666666,Hold
9,16.75,No action
10,17.583333333333332,Hold
11,22.5,No action
12,25.5,Hold
13,26.666666666666668,Hold
14,16.25,Hold
15,15.333333333333334,No action
16,14.166666666666666,No action
17,24.916666666666668,Hold
18,15.25,Hold
19,13.583333333333334,Hold
20,15.75,No action
21,26.416666666666668,Hold
22,22.75,Hold
23,17.166666666666668,Hold
24,19.166666666666668,Hold
25,21.833333333333332,No action
26,33.333333333333336,Hold
27,33.916666666666664,Hold
28,33.416666666666664,Hold
29,22.75,Hold
30,24.416666666666668,Hold
31,19.916666666666668,No action
32,30.833333333333332,Hold
33,31.333333333333332,Hold
34,27.333333333333332,Hold
35,16.75,Hold
36,15.333333333333334,Hold
37,15.833333333333334,No action
38,26.0,Hold
39,26.833333333333332,No action
40,10.666666666666666,Hold
41,11.166666666666666,Hold
42,12.916666666666666,No action
43,18.166666666666668,No action
44,12.166666666666666,Hold
45,12.5,Hold
46,13.833333333333334,Hold
47,15.333333333333334,Hold
48,11.5,No action
49,14.666666666666666,Hold
50,10.916666666666666,Hold
51,11.333333333333334,Hold
52,11.083333333333334,Hold
53,12.75,Hold
54,12.166666666666666,No action
55,14.833333333333334,No action
56,15.583333333333334,Hold
57,11.333333333333334,No action
58,11.583333333333334,Hold
59,9.75,No action
60,10.083333333333334,No action
61,1.9166666666666667,No action
62,6.333333333333333,No action
63,7.333333333333333,No action
64,8.416666666666666,Hold
65,9.583333333333334,No action
66,11.916666666666666,Hold
67,12.25,No action
68,13.25,Hold
69,17.916666666666668,Hold
70,19.75,No action
71,20.416666666666668,Hold
72,21.75,Hold
73,21.583333333333332,Hold
74,24.583333333333332,Hold
75,29.583333333333332,Hold
76,26.75,Hold
77,27.416666666666668,No action
78,28.083333333333332,Hold
79,19.25,Hold
80,24.333333333333332,Hold
81,26.75,Hold
82,22.333333333333332,No action
83,22.833333333333332,Hold
84,12.416666666666666,Hold
85,19.75,Hold
86,21.5,Hold
87,23.5,Hold
88,14.833333333333334,No action
89,12.333333333333334,Hold
90,14.5,Hold
91,20.833333333333332,Hold
92,22.0,Hold
93,18.583333333333332,Hold
94,18.666666666666668,No action
95,22.416666666666668,Hold
96,22.333333333333332,Hold
97,29.166666666666668,Hold
98,16.25,No action
99,14.25,Hold
100,15.5,Hold
101,21.583333333333332,Hold
102,28.583333333333332,Hold
103,21.833333333333332,Hold
104,13.0,No action
105,13.166666666666666,Hold
106,14.5,Hold
107,21.083333333333332,Hold
108,30.333333333333332,Hold
109,27.25,Hold
110,20.416666666666668,Hold
111,20.916666666666668,No action
112,20.333333333333332,Hold
113,25.166666666666668,Hold
114,32.5,Hold
115,28.916666666666668,Hold
116,23.5,Hold
117,21.333333333333332,No action
118,21.833333333333332,Hold
119,35.5,Skip
120,40.166666666666664,Skip
121,42.25,Hold
122,38.916666666666664,Hold
123,32.333333333333336,Skip
124,30.583333333333332,Hold
125,27.083333333333332,Skip
126,31.75,No action
127,37.5,Skip
128,45.0,Skip
129,50.916666666666664,Skip
130,55.916666666666664,No action
131,57.916666666666664,Skip
132,51.333333333333336,Skip
133,54.083333333333336,Skip
134,62.333333333333336,Skip
135,67.83333333333333,Skip
136,74.58333333333333,Skip
137,76.58333333333333,Skip
138,79.58333333333333,Skip
139,84.58333333333333,Skip
140,88.58333333333333,Skip
141,94.58333333333333,Skip
142,101.58333333333333,Skip
143,103.58333333333333,Skip
144,106.58333333333333,Skip
145,111.58333333333333,Skip
146,115.58333333333333,Skip
147,121.58333333333333,Skip
148,128.58333333333334,Skip
149,130.58333333333334,Skip
150,133.58333333333334,Skip
151,138.58333333333334,Skip
152,142.58333333333334,Skip
153,148.58333333333334,Skip
154,155.58333333333334,Skip
155,157.58333333333334,Skip
156,160.58333333333334,Skip
157,165.58333333333334,Skip
158,169.58333333333334,Skip
159,175.58333333333334,Skip
160,182.58333333333334,Skip
161,184.58333333333334,Skip
162,187.58333333333334,Skip
163,192.58333333333334,Skip
164,196.58333333333334,Skip
165,202.58333333333334,Skip
166,209.58333333333334,Skip
167,211.58333333333334,Skip
168,214.58333333333334,Skip
169,219.58333333333334,Skip
170,223.58333333333334,Skip
171,229.58333333333334,Skip
172,236.58333333333334,Skip
173,238.58333333333334,Skip
174,241.58333333333334,Skip
175,246.58333333333334,Skip
176,250.58333333333334,Skip
177,256.5833333333333,Skip
178,263.5833333333333,Skip
179,265.5833333333333,Skip
180,268.5833333333333,Skip
181,273.5833333333333,Skip
182,277.5833333333333,Skip
183,283.5833333333333,Skip
184,290.5833333333333,Skip
185,292.5833333333333,Skip
186,295.5833333333333,Skip
187,300.5833333333333,No action
188,285.8333333333333,Skip
189,278.5,Skip
190,285.4166666666667,Skip
191,287.4166666666667,Skip
192,290.4166666666667,Skip
193,299.4166666666667,Skip
194,305.4166666666667,Skip
195,306.4166666666667,Skip
196,312.4166666666667,Skip
197,314.4166666666667,Skip
198,317.4166666666667,Skip
199,326.4166666666667,Skip
200,332.4166666666667,Skip
201,333.4166666666667,Skip
202,339.4166666666667,Skip
203,341.4166666666667,Skip
204,344.4166666666667,Skip
205,353.4166666666667,Skip
206,359.4166666666667,Skip
207,360.4166666666667,Skip
208,366.4166666666667,Skip
209,368.4166666666667,Skip
210,371.4166666666667,Skip
211,380.4166666666667,Skip
212,386.4166666666667,Skip
213,387.4166666666667,Skip
214,393.4166666666667,Skip
215,395.4166666666667,Skip
216,398.4166666666667,Skip
217,407.4166666666667,Skip
218,413.4166666666667,Skip
219,414.4166666666667,Skip
220,420.4166666666667,Skip
221,422.4166666666667,Skip
222,425.4166666666667,Skip
223,434.4166666666667,Skip
224,440.4166666666667,Skip
225,441.4166666666667,Skip
226,447.4166666666667,Skip
227,449.4166666666667,Skip
228,452.4166666666667,Skip
229,461.4166666666667,Skip
230,467.4166666666667,Skip
231,468.4166666666667,Skip
232,474.4166666666667,Skip
233,476.4166666666667,Skip
234,479.4166666666667,Skip
235,488.4166666666667,Skip
236,494.4166666666667,Skip
237,495.4166666666667,Skip
238,501.4166666666667,Skip
239,503.4166666666667,Skip
240,506.4166666666667,Skip
241,515.4166666666666,Skip
242,521.4166666666666,Skip
243,522.4166666666666,Skip
244,528.4166666666666,Skip
245,530.4166666666666,Skip
246,533.4166666666666,Skip
247,542.4166666666666,Skip
248,548.4166666666666,Skip
249,549.4166666666666,Skip
250,555.4166666666666,Skip
251,557.4166666666666,Skip
252,560.4166666666666,Skip
253,569.4166666666666,Skip
254,575.4166666666666,Skip
255,576.4166666666666,Skip
256,582.4166666666666,Skip
257,584.4166666666666,Skip
258,587.4166666666666,Skip
259,596.4166666666666,Skip
260,602.4166666666666,Skip
261,603.4166666666666,Skip
262,609.4166666666666,Skip
263,611.4166666666666,Skip
264,614.4166666666666,Skip
265,623.4166666666666,Skip
266,629.4166666666666,Skip
267,630.4166666666666,Skip
268,636.4166666666666,Skip
269,638.4166666666666,Skip
270,641.4166666666666,Skip
271,650.4166666666666,Skip
272,656.4166666666666,Skip
273,657.4166666666666,Skip
274,663.4166666666666,Skip
275,665.4166666666666,Skip
276,668.4166666666666,Skip
277,677.4166666666666,Skip
278,683.4166666666666,Skip
279,684.4166666666666,Skip
280,690.4166666666666,Skip
281,692.4166666666666,Skip
282,695.4166666666666,Skip
283,704.4166666666666,Skip
284,710.4166666666666,Skip
285,711.4166666666666,Skip
286,717.4166666666666,Skip
287,719.4166666666666,Skip
288,722.4166666666666,Skip
289,731.4166666666666,Skip
290,737.4166666666666,Skip
291,738.4166666666666,Skip
292,744.4166666666666,Skip
293,746.4166666666666,Skip
294,749.4166666666666,Skip
295,758.4166666666666,Skip
296,764.4166666666666,Skip
297,765.4166666666666,Skip
298,771.4166666666666,Skip
299,773.4166666666666,Skip
300,776.4166666666666,Skip
301,785.4166666666666,Skip
302,791.4166666666666,Skip
303,792.4166666666666,Skip
304,798.4166666666666,Skip
305,800.4166666666666,Skip
306,803.4166666666666,Skip
307,812.4166666666666,Skip
308,818.4166666666666,Skip
309,819.4166666666666,Skip
310,825.4166666666666,Skip
311,827.4166666666666,Skip
312,830.4166666666666,Skip
313,839.4166666666666,Skip
314,845.4166666666666,Skip
315,846.4166666666666,Skip
316,852.4166666666666,Skip
317,854.4166666666666,Skip
318,857.4166666666666,Skip
319,866.4166666666666,Skip
320,872.4166666666666,Skip
321,873.4166666666666,Skip
322,879.4166666666666,Skip
323,881.4166666666666,Skip
324,884.4166666666666,Skip
325,893.4166666666666,Skip
326,899.4166666666666,Skip
327,900.4166666666666,Skip
328,906.4166666666666,Skip
329,908.4166666666666,Skip
330,911.4166666666666,Skip
331,920.4166666666666,Skip
332,926.4166666666666,Skip
333,927.4166666666666,Skip
334,933.4166666666666,Skip
335,935.4166666666666,Skip
336,938.4166666666666,Skip
337,947.4166666666666,Skip
338,953.4166666666666,Skip
339,954.4166666666666,Skip
340,960.4166666666666,Skip
341,962.4166666666666,Skip
342,965.4166666666666,Skip
343,974.4166666666666,Skip
344,980.4166666666666,Skip
