,meanWaitTime,action
0,11.083333333333334,No action
1,11.083333333333334,No action
2,14.083333333333334,Skip
3,17.083333333333332,Skip
4,20.083333333333332,Skip
5,23.083333333333332,Skip
6,26.083333333333332,Hold
7,31.25,No action
8,36.666666666666664,Skip
9,39.166666666666664,Skip
10,41.666666666666664,Skip
11,43.333333333333336,No action
12,56.666666666666664,No action
13,60.5,Hold
14,59.25,Skip
15,61.583333333333336,Skip
16,64.08333333333333,Skip
17,65.75,Hold
18,77.25,No action
19,75.91666666666667,Skip
20,77.91666666666667,Skip
21,78.58333333333333,Hold
22,79.91666666666667,Hold
23,91.91666666666667,No action
24,92.58333333333333,Hold
25,87.0,Skip
26,89.0,Hold
27,94.41666666666667,Hold
28,100.83333333333333,Hold
29,102.0,No action
30,95.58333333333333,No action
31,96.75,Hold
32,99.0,Hold
33,106.66666666666667,Hold
34,109.58333333333333,Hold
35,110.16666666666667,Hold
36,102.25,Hold
37,108.08333333333333,Skip
38,109.83333333333333,Hold
39,114.5,Hold
40,122.0,Hold
41,122.66666666666667,No action
42,111.08333333333333,Hold
43,114.66666666666667,Skip
44,116.66666666666667,Hold
45,124.66666666666667,Hold
46,131.25,No action
47,114.75,No action
48,118.5,Hold
49,121.5,Hold
50,133.16666666666666,No action
51,135.5,Hold
52,137.75,Skip
53,118.91666666666667,Skip
54,124.91666666666667,Skip
55,126.41666666666667,Hold
56,137.66666666666666,No action
57,140.66666666666666,Hold
58,118.16666666666667,Skip
59,120.41666666666667,Skip
60,125.66666666666667,Skip
61,136.16666666666666,No action
62,140.25,Hold
63,116.16666666666667,Skip
64,118.16666666666667,No action
65,122.33333333333333,Skip
66,133.58333333333334,No action
67,134.33333333333334,Hold
68,127.83333333333333,Skip
69,129.83333333333334,No action
70,131.83333333333334,No action
71,135.83333333333334,No action
72,144.33333333333334,No action
73,131.33333333333334,Hold
74,134.83333333333334,No action
75,136.58333333333334,No action
76,140.08333333333334,Hold
77,145.41666666666666,Hold
78,150.08333333333334,No action
79,128.33333333333334,Skip
80,129.66666666666666,Skip
81,130.33333333333334,Hold
82,143.66666666666666,No action
83,144.33333333333334,No action
84,145.66666666666666,No action
85,112.5,Hold
86,118.0,Hold
87,131.33333333333334,Skip
