,meanWaitTime,action
0,0.0,No action
1,11.083333333333334,No action
2,12.083333333333334,No action
3,22.75,Hold
4,25.333333333333332,Hold
5,26.333333333333332,Hold
6,13.833333333333334,Hold
7,17.25,Hold
8,19.833333333333332,Hold
9,11.833333333333334,No action
10,15.166666666666666,Hold
11,17.666666666666668,Hold
12,18.916666666666668,No action
13,19.75,Hold
14,14.5,Hold
15,10.166666666666666,Hold
16,11.416666666666666,Hold
17,10.833333333333334,Hold
18,12.083333333333334,No action
19,12.916666666666666,No action
20,10.75,No action
21,16.25,Hold
22,16.666666666666668,Hold
23,17.083333333333332,Hold
24,3.5833333333333335,No action
25,4.25,No action
26,14.666666666666666,Hold
27,15.833333333333334,Hold
28,13.333333333333334,Hold
29,13.5,No action
30,23.833333333333332,Hold
31,20.083333333333332,Hold
32,20.666666666666668,No action
33,15.166666666666666,No action
34,20.416666666666668,Hold
35,18.0,Hold
36,17.083333333333332,No action
37,18.25,No action
38,8.583333333333334,No action
39,18.666666666666668,Hold
40,19.166666666666668,Hold
41,15.083333333333334,Hold
42,15.5,Hold
43,13.5,No action
44,9.666666666666666,No action
45,12.25,Hold
46,13.5,Hold
47,13.916666666666666,Hold
48,14.333333333333334,Hold
49,2.75,No action
50,9.75,Hold
51,14.25,Hold
52,15.416666666666666,Hold
53,16.25,Hold
54,11.75,No action
55,9.916666666666666,Hold
56,6.416666666666667,Hold
57,8.166666666666666,No action
58,9.166666666666666,No action
59,9.416666666666666,No action
60,9.666666666666666,No action
61,15.083333333333334,Hold
62,12.833333333333334,Hold
63,14.166666666666666,Hold
64,14.666666666666666,No action
65,15.166666666666666,No action
66,17.416666666666668,Hold
67,18.0,Hold
68,16.25,Hold
69,17.25,No action
70,18.416666666666668,No action
71,17.333333333333332,Hold
72,16.5,Hold
73,17.5,No action
74,14.166666666666666,Hold
75,6.583333333333333,No action
76,8.5,No action
77,10.666666666666666,Hold
78,10.416666666666666,Hold
79,11.75,No action
80,12.083333333333334,Hold
81,12.416666666666666,Hold
82,10.333333333333334,No action
83,11.916666666666666,Hold
84,12.416666666666666,Hold
85,7.416666666666667,Hold
86,8.833333333333334,No action
87,9.333333333333334,No action
88,6.916666666666667,Hold
89,7.25,Hold
90,6.583333333333333,No action
91,7.333333333333333,Hold
92,11.75,No action
93,12.583333333333334,No action
94,3.8333333333333335,No action
95,14.083333333333334,Hold
96,15.25,Hold
97,10.25,No action
98,10.666666666666666,No action
99,11.416666666666666,No action
100,17.25,Hold
101,17.833333333333332,Hold
102,22.5,No action
103,23.083333333333332,No action
104,13.333333333333334,No action
105,20.333333333333332,Hold
106,16.75,Hold
107,17.25,Hold
108,19.0,No action
109,14.583333333333334,No action
110,21.0,Hold
111,22.166666666666668,Hold
112,12.25,No action
113,8.916666666666666,No action
114,9.75,No action
115,19.166666666666668,Hold
116,20.5,No action
117,17.583333333333332,Hold
118,15.166666666666666,Hold
119,11.0,No action
120,10.75,Hold
121,14.75,Hold
122,15.083333333333334,Hold
123,10.25,Hold
124,5.083333333333333,No action
125,5.75,No action
126,6.666666666666667,Hold
127,5.5,Hold
128,6.0,No action
129,6.166666666666667,No action
130,6.416666666666667,Hold
131,4.75,No action
132,13.666666666666666,Hold
133,14.166666666666666,Hold
134,14.0,Hold
135,14.833333333333334,Hold
136,6.333333333333333,No action
137,6.583333333333333,No action
138,21.333333333333332,Hold
139,21.916666666666668,Hold
140,14.666666666666666,No action
141,13.083333333333334,No action
142,13.5,No action
143,18.25,Hold
144,19.5,Hold
145,19.666666666666668,Hold
146,20.333333333333332,Hold
147,21.0,No action
148,8.5,No action
149,20.75,Hold
150,22.333333333333332,No action
151,20.083333333333332,Hold
152,18.416666666666668,No action
153,15.166666666666666,Hold
154,20.583333333333332,Hold
155,21.583333333333332,Hold
156,17.666666666666668,Hold
157,16.25,Hold
158,14.916666666666666,No action
159,15.333333333333334,Hold
160,18.5,Hold
161,19.0,Hold
162,19.5,Hold
163,11.833333333333334,No action
164,12.666666666666666,No action
165,14.166666666666666,Hold
166,16.5,Hold
167,18.5,Hold
168,19.0,No action
169,9.916666666666666,No action
170,14.666666666666666,Hold
171,15.083333333333334,Hold
172,12.083333333333334,Hold
173,12.75,No action
174,8.583333333333334,Hold
175,5.0,No action
176,11.666666666666666,Hold
177,13.333333333333334,Hold
178,13.75,Hold
179,10.0,Hold
180,11.333333333333334,No action
181,12.666666666666666,No action
182,18.333333333333332,Hold
183,15.5,Hold
184,16.166666666666668,No action
185,13.75,No action
186,9.666666666666666,No action
187,10.333333333333334,Hold
188,11.833333333333334,Hold
189,10.25,Hold
190,11.833333333333334,No action
191,12.166666666666666,No action
192,16.25,No action
193,16.666666666666668,No action
194,17.083333333333332,No action
195,16.75,Hold
196,12.25,No action
197,8.5,No action
198,6.583333333333333,Hold
199,7.25,No action
200,7.583333333333333,No action
201,9.25,Hold
202,11.083333333333334,No action
203,10.416666666666666,Hold
204,14.916666666666666,Hold
205,15.916666666666666,Hold
206,15.5,No action
207,11.416666666666666,No action
208,18.083333333333332,Hold
209,11.583333333333334,Hold
210,13.666666666666666,No action
211,14.166666666666666,No action
212,9.916666666666666,No action
213,22.083333333333332,Hold
214,22.583333333333332,Hold
215,10.333333333333334,Hold
216,4.833333333333333,Hold
217,5.833333333333333,No action
218,15.166666666666666,Hold
219,16.416666666666668,Hold
220,17.333333333333332,Hold
221,8.5,No action
222,8.916666666666666,No action
223,17.916666666666668,Hold
224,18.166666666666668,Hold
225,18.833333333333332,Hold
226,19.5,Hold
227,15.916666666666666,No action
228,14.333333333333334,No action
229,16.0,Hold
230,18.5,Hold
231,16.083333333333332,Hold
232,17.083333333333332,No action
233,14.083333333333334,No action
234,12.416666666666666,No action
235,11.833333333333334,Hold
236,12.333333333333334,Hold
237,12.833333333333334,No action
238,15.333333333333334,Hold
239,15.833333333333334,No action
240,11.833333333333334,No action
241,15.833333333333334,Hold
242,17.083333333333332,Hold
243,14.166666666666666,Hold
244,14.5,No action
245,5.833333333333333,No action
246,14.333333333333334,Hold
247,16.833333333333332,Hold
248,17.833333333333332,Hold
249,12.666666666666666,No action
250,13.0,No action
251,20.333333333333332,Hold
252,20.916666666666668,No action
253,17.416666666666668,Hold
254,16.75,No action
255,6.666666666666667,No action
256,15.833333333333334,Hold
257,19.166666666666668,Hold
258,19.75,Hold
259,16.583333333333332,Hold
260,15.5,No action
261,16.333333333333332,No action
262,20.166666666666668,Hold
263,20.75,Hold
264,19.166666666666668,Hold
265,10.166666666666666,No action
266,11.833333333333334,No action
267,18.0,Hold
268,19.75,Hold
269,20.333333333333332,No action
270,20.916666666666668,No action
271,10.583333333333334,No action
272,14.75,Hold
273,15.583333333333334,Hold
274,16.0,Hold
275,16.916666666666668,No action
276,17.5,No action
277,24.666666666666668,Hold
278,14.416666666666666,No action
279,12.166666666666666,Hold
280,7.75,No action
281,19.916666666666668,Hold
282,17.166666666666668,Hold
283,17.666666666666668,No action
284,18.166666666666668,Hold
285,10.333333333333334,No action
286,10.833333333333334,Hold
287,6.833333333333333,Hold
288,7.5,No action
289,7.666666666666667,No action
290,3.25,Hold
291,4.0,No action
292,10.0,Hold
293,5.083333333333333,Hold
294,5.333333333333333,Hold
295,4.166666666666667,No action
296,5.25,No action
297,4.0,No action
298,12.75,Hold
299,14.0,Hold
300,12.75,No action
301,13.416666666666666,No action
302,16.25,Hold
303,16.833333333333332,Hold
304,19.833333333333332,No action
305,12.083333333333334,No action
306,17.416666666666668,Hold
307,19.166666666666668,Hold
308,19.0,Hold
309,17.916666666666668,Hold
310,16.75,No action
311,12.416666666666666,No action
312,17.416666666666668,Hold
313,17.833333333333332,Hold
314,18.25,Hold
315,10.916666666666666,Hold
316,11.416666666666666,Hold
317,6.416666666666667,No action
318,6.583333333333333,Hold
319,8.583333333333334,No action
320,8.916666666666666,Hold
321,9.25,No action
322,9.5,Hold
323,10.833333333333334,No action
324,12.5,Hold
325,13.416666666666666,Hold
326,15.333333333333334,No action
327,14.5,Hold
328,15.333333333333334,No action
329,9.833333333333334,No action
330,5.916666666666667,Hold
331,7.416666666666667,Hold
332,5.0,Hold
333,5.166666666666667,No action
334,1.5833333333333333,Hold
335,2.3333333333333335,No action
336,6.75,Hold
337,7.083333333333333,Hold
338,7.666666666666667,Hold
339,3.6666666666666665,No action
340,3.8333333333333335,Hold
341,5.166666666666667,No action
342,13.5,Hold
343,13.916666666666666,Hold
344,12.166666666666666,No action
345,12.5,Hold
346,9.416666666666666,No action
347,16.833333333333332,Hold
348,17.833333333333332,Hold
349,6.25,No action
350,19.0,No action
351,19.5,No action
352,3.3333333333333335,No action
353,11.0,Hold
354,9.833333333333334,Hold
355,12.333333333333334,No action
356,12.75,No action
357,5.916666666666667,No action
358,12.0,Hold
359,12.25,Hold
360,10.333333333333334,Hold
361,10.666666666666666,No action
362,6.416666666666667,No action
363,6.666666666666667,No action
364,13.25,Hold
365,14.916666666666666,Hold
366,13.833333333333334,No action
367,4.666666666666667,No action
368,19.083333333333332,Hold
369,20.583333333333332,Hold
370,17.583333333333332,Hold
371,18.916666666666668,No action
372,22.666666666666668,Hold
373,23.166666666666668,Hold
374,20.666666666666668,No action
375,21.083333333333332,Hold
376,12.166666666666666,Hold
377,5.75,Hold
378,6.916666666666667,No action
379,7.25,Hold
380,5.416666666666667,No action
381,5.583333333333333,Hold
382,6.416666666666667,No action
383,5.333333333333333,Hold
384,6.583333333333333,No action
385,7.083333333333333,Hold
386,8.583333333333334,Hold
387,5.75,No action
388,8.666666666666666,No action
389,7.75,Hold
390,12.333333333333334,Hold
391,14.416666666666666,Hold
392,11.583333333333334,Hold
393,12.416666666666666,No action
394,11.0,Hold
395,14.666666666666666,Hold
