,meanWaitTime,action
0,0.0,Skip
1,10.083333333333334,Hold
2,19.333333333333332,Hold
3,28.75,No action
4,11.083333333333334,Hold
5,13.833333333333334,Hold
6,10.5,Skip
7,19.666666666666668,Hold
8,22.166666666666668,Hold
9,26.666666666666668,Hold
10,24.583333333333332,Hold
11,18.75,Hold
12,21.083333333333332,Hold
13,22.25,Hold
14,22.75,Hold
15,19.25,Hold
16,14.916666666666666,Hold
17,15.75,Hold
18,15.083333333333334,Hold
19,15.5,Hold
20,12.0,Hold
21,14.0,Skip
22,20.416666666666668,Hold
23,19.083333333333332,Hold
24,18.0,Hold
25,18.75,No action
26,19.083333333333332,Skip
27,14.333333333333334,Hold
28,23.5,Hold
29,27.5,Hold
30,25.083333333333332,Skip
31,25.666666666666668,Hold
32,23.583333333333332,Skip
33,25.583333333333332,Skip
34,26.25,Hold
35,35.166666666666664,Hold
36,27.833333333333332,Hold
37,29.583333333333332,No action
38,31.166666666666668,Hold
39,30.583333333333332,Hold
40,35.75,Hold
41,36.166666666666664,Hold
42,21.333333333333332,Hold
43,21.75,Hold
44,8.083333333333334,Hold
45,9.083333333333334,Skip
46,15.833333333333334,Hold
47,16.75,Skip
48,16.833333333333332,No action
49,18.083333333333332,Hold
50,18.916666666666668,No action
51,19.666666666666668,Hold
52,20.0,Hold
53,17.0,Hold
54,20.083333333333332,No action
55,20.5,Hold
56,20.666666666666668,Hold
57,25.583333333333332,Hold
58,26.083333333333332,Skip
59,22.833333333333332,Hold
60,24.916666666666668,Skip
61,26.583333333333332,Hold
62,15.333333333333334,Hold
63,21.416666666666668,Hold
64,11.333333333333334,Hold
65,13.833333333333334,Hold
66,14.583333333333334,Hold
67,9.833333333333334,Hold
68,8.5,No action
69,9.166666666666666,Hold
70,5.416666666666667,Hold
71,8.0,No action
72,12.25,Hold
73,14.583333333333334,Hold
74,19.083333333333332,Hold
75,18.333333333333332,Hold
76,19.333333333333332,Hold
77,17.833333333333332,Hold
78,18.0,Skip
79,18.666666666666668,Hold
80,17.916666666666668,No action
81,14.25,Hold
82,13.333333333333334,Hold
83,12.833333333333334,Hold
84,16.75,Skip
85,29.25,No action
86,26.833333333333332,Skip
87,27.083333333333332,Hold
88,27.916666666666668,Skip
89,21.166666666666668,Hold
90,29.083333333333332,Hold
91,34.166666666666664,Skip
92,39.583333333333336,Hold
93,18.833333333333332,Skip
94,19.833333333333332,Hold
95,23.666666666666668,Hold
96,27.5,Hold
97,39.5,Skip
98,40.833333333333336,Hold
99,39.416666666666664,Hold
100,26.083333333333332,Hold
101,24.5,Hold
102,28.0,Hold
103,29.0,No action
104,31.75,Hold
105,31.75,Skip
106,32.75,Hold
107,27.25,Hold
108,29.75,Skip
109,32.333333333333336,Hold
110,35.833333333333336,Hold
111,39.833333333333336,Skip
112,41.833333333333336,No action
113,43.833333333333336,Hold
114,46.75,Hold
115,47.5,Hold
116,50.416666666666664,Skip
117,53.75,Hold
118,57.166666666666664,Skip
119,59.5,Hold
120,62.416666666666664,Hold
121,37.583333333333336,Skip
122,43.75,Hold
123,43.833333333333336,Skip
124,48.583333333333336,Hold
125,50.083333333333336,Skip
126,44.5,Skip
127,46.0,Hold
128,56.166666666666664,Hold
129,59.416666666666664,Skip
130,64.5,Hold
131,65.33333333333333,Hold
132,45.833333333333336,Hold
133,47.166666666666664,Hold
134,50.5,No action
135,49.416666666666664,Hold
136,34.166666666666664,Skip
137,34.833333333333336,Hold
138,42.5,Skip
139,46.666666666666664,Hold
140,48.0,Hold
141,38.083333333333336,No action
142,31.833333333333332,Hold
143,32.916666666666664,Hold
144,38.166666666666664,Hold
145,40.583333333333336,Hold
146,41.583333333333336,Hold
147,17.0,Skip
148,18.333333333333332,Hold
149,19.333333333333332,Hold
150,29.5,Hold
151,28.25,Hold
152,27.75,Hold
153,26.333333333333332,No action
154,18.916666666666668,Hold
155,19.166666666666668,Hold
156,32.083333333333336,Hold
157,32.75,Hold
158,30.333333333333332,Hold
159,30.0,Hold
160,30.666666666666668,Hold
161,33.083333333333336,Hold
162,27.583333333333332,Hold
163,24.666666666666668,Hold
164,24.166666666666668,Hold
165,24.666666666666668,Hold
166,24.333333333333332,No action
167,19.916666666666668,Hold
168,19.333333333333332,Hold
169,15.75,Hold
170,18.083333333333332,Hold
171,20.0,Hold
172,21.166666666666668,No action
173,21.75,Hold
174,18.75,Skip
175,19.25,Hold
176,20.25,Hold
177,24.25,Skip
178,26.25,Hold
179,27.416666666666668,Hold
180,29.416666666666668,Hold
181,27.833333333333332,Skip
182,31.333333333333332,Skip
183,35.083333333333336,Skip
184,41.666666666666664,Hold
185,46.916666666666664,Skip
186,56.666666666666664,Hold
187,53.0,Hold
188,53.75,Hold
189,54.5,Hold
190,33.5,Hold
191,40.0,Hold
192,40.083333333333336,Hold
193,41.333333333333336,Skip
194,41.75,No action
195,42.166666666666664,Skip
196,30.083333333333332,Hold
197,38.583333333333336,Hold
198,40.25,No action
199,40.5,Hold
200,41.5,No action
201,42.0,Skip
202,47.833333333333336,Hold
203,49.916666666666664,Hold
204,39.083333333333336,Hold
205,42.583333333333336,Hold
206,43.416666666666664,Hold
207,43.75,Hold
208,39.833333333333336,Hold
209,42.333333333333336,Hold
210,36.083333333333336,Hold
211,35.333333333333336,Hold
212,36.333333333333336,Hold
213,26.583333333333332,Skip
214,30.5,Hold
215,32.25,Skip
216,34.25,Hold
217,39.0,Hold
218,38.666666666666664,Hold
219,38.25,Hold
220,27.166666666666668,Skip
221,20.25,Hold
222,20.75,Hold
223,27.583333333333332,Hold
224,19.583333333333332,Hold
225,10.166666666666666,Hold
226,9.583333333333334,Hold
227,8.083333333333334,Hold
228,7.333333333333333,Skip
229,9.666666666666666,No action
230,9.916666666666666,No action
231,1.75,Hold
232,1.9166666666666667,Hold
233,3.0833333333333335,Hold
234,4.5,Hold
235,6.333333333333333,Hold
236,7.333333333333333,Hold
237,13.416666666666666,Hold
238,11.166666666666666,Hold
239,12.166666666666666,Hold
240,15.666666666666666,Hold
241,19.75,Hold
242,27.416666666666668,Hold
243,28.583333333333332,No action
244,30.75,Hold
245,34.25,Hold
246,33.25,Hold
247,34.416666666666664,Hold
248,35.583333333333336,No action
249,30.166666666666668,Hold
250,30.583333333333332,Hold
251,28.083333333333332,Hold
252,21.416666666666668,Skip
253,23.083333333333332,Hold
254,23.416666666666668,Hold
255,30.583333333333332,Hold
256,31.083333333333332,Hold
257,28.25,No action
258,29.75,Hold
259,22.833333333333332,Hold
260,23.166666666666668,Skip
261,29.333333333333332,Skip
262,29.833333333333332,No action
263,31.25,Hold
264,35.0,Hold
265,36.833333333333336,Skip
266,38.833333333333336,Hold
267,41.416666666666664,No action
268,35.583333333333336,Skip
269,36.25,Hold
270,36.0,Hold
271,26.833333333333332,Skip
272,32.25,Hold
273,34.416666666666664,Skip
274,36.083333333333336,Hold
275,35.083333333333336,Hold
276,36.416666666666664,Hold
277,16.75,Hold
278,20.833333333333332,Hold
279,20.916666666666668,Skip
280,23.916666666666668,Hold
281,23.0,Hold
282,21.083333333333332,Hold
283,12.75,Hold
284,16.75,Skip
285,20.25,Hold
286,20.416666666666668,Skip
287,21.583333333333332,Hold
288,26.166666666666668,Hold
289,22.0,Hold
290,26.166666666666668,Skip
291,28.833333333333332,Hold
292,21.583333333333332,Hold
293,21.916666666666668,Hold
294,27.5,Hold
295,28.75,Hold
296,27.25,Hold
297,27.25,Hold
298,21.166666666666668,Hold
299,26.583333333333332,Hold
300,30.833333333333332,Hold
301,23.166666666666668,Skip
302,23.666666666666668,Skip
303,30.666666666666668,Skip
304,32.666666666666664,Hold
