,meanWaitTime,action
0,0.0,No action
1,10.083333333333334,No action
2,19.333333333333332,No action
3,28.75,No action
4,8.416666666666666,No action
5,15.416666666666666,No action
6,12.0,No action
7,17.75,No action
8,15.166666666666666,No action
9,20.5,No action
10,8.0,No action
11,2.9166666666666665,No action
12,9.083333333333334,No action
13,12.416666666666666,No action
14,12.833333333333334,No action
15,10.583333333333334,No action
16,12.083333333333334,No action
17,14.5,No action
18,14.916666666666666,No action
19,11.333333333333334,No action
20,10.083333333333334,No action
21,10.666666666666666,No action
22,11.666666666666666,No action
23,11.916666666666666,No action
24,7.833333333333333,No action
25,12.0,No action
26,12.5,No action
27,10.75,No action
28,12.25,No action
29,13.5,No action
30,9.833333333333334,No action
31,16.0,No action
32,16.583333333333332,No action
33,15.75,No action
34,16.583333333333332,No action
35,14.833333333333334,No action
36,11.083333333333334,No action
37,14.0,No action
38,9.583333333333334,No action
39,7.416666666666667,No action
40,8.166666666666666,No action
41,8.583333333333334,No action
42,10.166666666666666,No action
43,11.083333333333334,No action
44,6.833333333333333,No action
45,9.333333333333334,No action
46,9.833333333333334,No action
47,12.833333333333334,No action
48,14.333333333333334,No action
49,19.833333333333332,No action
50,17.833333333333332,No action
51,15.166666666666666,No action
52,15.666666666666666,No action
53,11.5,No action
54,10.666666666666666,No action
55,16.666666666666668,No action
56,17.666666666666668,No action
57,9.666666666666666,No action
58,10.083333333333334,No action
59,7.833333333333333,No action
60,12.166666666666666,No action
61,13.416666666666666,No action
62,11.083333333333334,No action
63,11.833333333333334,No action
64,8.25,No action
65,10.25,No action
66,10.166666666666666,No action
67,11.75,No action
68,12.583333333333334,No action
69,13.416666666666666,No action
70,13.833333333333334,No action
71,11.666666666666666,No action
72,9.0,No action
73,9.666666666666666,No action
74,7.916666666666667,No action
75,10.25,No action
76,8.166666666666666,No action
77,8.416666666666666,No action
78,3.0833333333333335,No action
79,3.1666666666666665,No action
80,0.6666666666666666,No action
81,5.416666666666667,No action
82,6.666666666666667,No action
83,7.5,No action
84,7.833333333333333,No action
85,10.0,No action
86,10.5,No action
87,13.5,No action
88,17.166666666666668,No action
89,18.916666666666668,No action
90,24.333333333333332,No action
91,20.416666666666668,No action
92,16.333333333333332,No action
93,17.416666666666668,No action
94,21.25,No action
95,22.75,No action
96,22.833333333333332,No action
97,17.416666666666668,No action
98,18.083333333333332,No action
99,21.0,No action
100,22.083333333333332,No action
101,20.25,No action
102,13.5,No action
103,15.0,No action
104,22.0,No action
105,22.666666666666668,No action
106,14.833333333333334,No action
107,15.833333333333334,No action
108,16.833333333333332,No action
109,17.5,No action
110,24.666666666666668,No action
111,17.416666666666668,No action
112,19.5,No action
113,22.333333333333332,No action
114,23.333333333333332,No action
115,21.0,No action
116,24.5,No action
117,27.916666666666668,No action
118,27.083333333333332,No action
119,30.083333333333332,No action
120,16.916666666666668,No action
121,21.666666666666668,No action
122,25.5,No action
123,27.25,No action
124,31.333333333333332,No action
125,32.583333333333336,No action
126,33.583333333333336,No action
127,18.083333333333332,No action
128,12.5,No action
129,15.25,No action
130,22.75,No action
131,21.083333333333332,No action
