,meanWaitTime,action
0,11.083333333333334,Skip
1,11.083333333333334,Skip
2,14.083333333333334,No action
3,21.166666666666668,No action
4,23.916666666666668,No action
5,26.666666666666668,No action
6,28.5,Hold
7,31.25,Skip
8,43.166666666666664,No action
9,46.666666666666664,Skip
10,49.166666666666664,Hold
11,65.0,Skip
12,65.83333333333333,No action
13,68.58333333333333,No action
14,69.5,No action
15,73.0,Hold
16,77.25,No action
17,78.75,Hold
18,89.25,No action
19,91.91666666666667,Skip
20,92.58333333333333,Hold
21,86.58333333333333,Hold
22,95.91666666666667,Hold
23,97.25,Skip
24,99.91666666666667,Hold
25,102.58333333333333,No action
26,98.5,No action
27,99.08333333333333,Hold
28,101.0,Hold
29,95.41666666666667,Hold
30,96.41666666666667,No action
31,96.91666666666667,Hold
32,86.25,Skip
33,90.25,Hold
34,91.41666666666667,Hold
35,99.16666666666667,No action
36,102.25,No action
37,93.83333333333333,Hold
38,74.83333333333333,Hold
39,75.91666666666667,Hold
40,79.41666666666667,No action
41,62.666666666666664,Hold
42,63.666666666666664,Hold
43,65.16666666666667,No action
44,70.5,No action
45,71.16666666666667,Hold
46,57.75,Hold
47,59.75,No action
48,41.916666666666664,Skip
49,45.25,Hold
50,45.916666666666664,Hold
51,57.916666666666664,Skip
52,59.416666666666664,Skip
53,61.666666666666664,Hold
54,75.16666666666667,No action
55,76.66666666666667,Skip
56,71.25,No action
57,68.66666666666667,Hold
58,70.16666666666667,Skip
59,70.91666666666667,No action
60,75.41666666666667,No action
61,76.16666666666667,No action
62,55.666666666666664,Hold
63,57.0,Skip
64,57.666666666666664,Hold
65,66.33333333333333,No action
66,69.66666666666667,Hold
67,71.0,Skip
68,72.33333333333333,No action
69,72.25,No action
70,72.91666666666667,No action
71,73.58333333333333,No action
72,55.083333333333336,No action
73,48.916666666666664,Hold
74,53.916666666666664,Hold
75,58.0,No action
76,48.833333333333336,Hold
77,50.333333333333336,Skip
78,58.666666666666664,Hold
79,61.833333333333336,No action
80,62.416666666666664,No action
81,63.0,Hold
82,39.916666666666664,No action
83,33.833333333333336,No action
84,41.25,No action
85,27.75,Hold
86,28.25,No action
87,18.833333333333332,Hold
88,24.916666666666668,Hold
89,24.25,No action
90,15.833333333333334,Skip
91,18.666666666666668,Hold
92,23.916666666666668,No action
93,24.5,Skip
94,26.833333333333332,No action
95,26.583333333333332,Skip
96,29.5,No action
97,30.083333333333332,Skip
98,24.083333333333332,No action
99,21.416666666666668,Hold
100,23.5,No action
101,24.333333333333332,Hold
102,24.166666666666668,Hold
103,24.416666666666668,Hold
104,18.833333333333332,No action
105,13.333333333333334,Hold
106,3.9166666666666665,Hold
107,4.5,No action
108,9.166666666666666,No action
109,7.75,Hold
110,5.416666666666667,No action
111,9.416666666666666,Hold
112,10.25,No action
113,9.333333333333334,No action
114,9.75,No action
115,5.416666666666667,Hold
116,6.75,No action
117,7.0,Hold
118,4.25,No action
119,6.25,No action
120,6.166666666666667,No action
121,3.4166666666666665,Hold
122,5.75,No action
123,9.5,Hold
124,9.916666666666666,No action
125,9.333333333333334,No action
126,18.5,No action
127,20.5,No action
128,18.916666666666668,Hold
129,19.5,Hold
130,17.5,Hold
131,16.333333333333332,No action
132,19.666666666666668,Hold
133,18.166666666666668,No action
134,20.166666666666668,Hold
135,20.5,No action
136,16.25,Hold
137,17.5,Skip
138,22.0,No action
139,18.083333333333332,No action
140,17.5,Hold
141,15.25,Hold
142,20.75,Hold
143,20.666666666666668,Hold
144,21.166666666666668,Skip
145,21.0,No action
146,20.0,Hold
147,19.916666666666668,Hold
148,25.333333333333332,Hold
149,26.333333333333332,Hold
150,26.0,Skip
151,14.5,Hold
152,15.833333333333334,No action
153,22.583333333333332,Hold
154,23.166666666666668,Hold
155,23.75,Skip
156,19.166666666666668,Hold
157,19.333333333333332,Hold
158,21.083333333333332,Hold
159,22.083333333333332,Hold
160,21.5,Skip
161,21.916666666666668,Hold
162,19.5,Hold
163,22.833333333333332,Hold
164,20.666666666666668,Hold
165,21.916666666666668,Hold
166,17.583333333333332,Skip
167,19.833333333333332,Hold
168,24.333333333333332,Hold
169,27.083333333333332,Hold
170,29.666666666666668,Hold
171,29.916666666666668,Skip
172,30.416666666666668,Hold
173,19.833333333333332,Hold
174,22.666666666666668,Hold
175,28.75,No action
176,28.25,Hold
177,28.416666666666668,Skip
178,30.916666666666668,No action
179,32.083333333333336,No action
180,17.916666666666668,Hold
181,22.583333333333332,Hold
182,25.75,Hold
183,24.5,Skip
184,27.5,Hold
185,22.416666666666668,Hold
186,24.166666666666668,Hold
187,33.333333333333336,Hold
188,33.416666666666664,Hold
189,25.25,Hold
190,19.166666666666668,Hold
191,12.916666666666666,Hold
192,21.416666666666668,Hold
193,22.75,Skip
194,23.333333333333332,Hold
195,20.666666666666668,Hold
196,22.666666666666668,Hold
197,18.916666666666668,Hold
198,28.916666666666668,No action
199,30.083333333333332,Hold
200,25.166666666666668,No action
201,31.166666666666668,Hold
202,17.916666666666668,Hold
203,22.166666666666668,Skip
204,23.333333333333332,Hold
205,25.083333333333332,No action
206,28.75,Hold
207,30.083333333333332,Hold
208,26.5,Skip
209,30.0,Hold
210,27.5,Skip
211,29.5,Hold
212,42.333333333333336,Hold
213,43.083333333333336,Hold
214,40.083333333333336,No action
215,28.833333333333332,Hold
216,25.0,No action
217,21.166666666666668,Hold
218,28.416666666666668,Hold
219,22.333333333333332,Hold
220,23.583333333333332,No action
221,22.5,Hold
222,23.0,No action
223,8.5,Hold
224,10.0,Hold
225,10.833333333333334,Hold
226,12.166666666666666,No action
227,16.583333333333332,Hold
228,14.583333333333334,Hold
229,18.25,Hold
230,16.083333333333332,Hold
231,16.5,Skip
232,15.583333333333334,No action
233,19.166666666666668,Hold
234,18.0,Hold
235,20.666666666666668,Hold
236,23.666666666666668,Hold
237,24.0,No action
238,11.583333333333334,No action
239,4.666666666666667,Hold
240,6.75,Hold
241,11.0,Hold
242,15.0,Hold
243,16.0,No action
244,15.083333333333334,No action
245,13.5,Hold
246,17.916666666666668,Hold
247,20.916666666666668,Hold
248,20.25,Hold
249,20.833333333333332,No action
250,16.75,No action
251,16.916666666666668,Hold
252,16.166666666666668,Hold
253,17.0,No action
254,16.916666666666668,No action
255,17.416666666666668,Hold
256,8.916666666666666,No action
257,10.666666666666666,Hold
258,12.083333333333334,Hold
259,13.0,No action
260,13.583333333333334,Skip
261,11.75,No action
262,16.416666666666668,Hold
263,17.75,Hold
264,16.583333333333332,No action
265,18.166666666666668,Hold
266,18.5,Skip
267,11.5,No action
268,18.666666666666668,Hold
269,21.416666666666668,Hold
270,17.166666666666668,Skip
271,20.166666666666668,Hold
272,19.416666666666668,No action
273,27.333333333333332,Hold
274,30.833333333333332,Hold
275,28.25,No action
276,23.25,Hold
277,25.833333333333332,Skip
278,27.083333333333332,Hold
279,26.25,Hold
280,30.0,Hold
281,26.083333333333332,Skip
282,34.083333333333336,Hold
283,20.916666666666668,Hold
284,23.5,Hold
285,28.416666666666668,Hold
286,29.0,Skip
287,29.166666666666668,No action
288,31.083333333333332,No action
289,28.333333333333332,Skip
290,30.833333333333332,Hold
291,35.25,Hold
292,36.0,Hold
293,37.75,No action
294,34.916666666666664,No action
295,35.916666666666664,No action
296,23.5,No action
297,17.25,Hold
298,20.583333333333332,Hold
299,21.0,No action
300,17.416666666666668,Hold
301,18.25,Skip
302,16.416666666666668,No action
303,18.083333333333332,Hold
304,21.25,Hold
305,21.75,No action
306,21.75,No action
307,11.833333333333334,Hold
308,10.25,Hold
309,11.25,Hold
310,10.666666666666666,No action
311,11.083333333333334,Hold
312,11.333333333333334,Hold
313,19.25,Hold
314,21.75,Hold
315,19.0,Hold
316,12.333333333333334,Hold
317,18.666666666666668,Hold
318,23.666666666666668,Hold
319,24.166666666666668,Hold
320,24.666666666666668,No action
321,14.0,No action
322,11.166666666666666,Hold
323,13.25,Hold
324,13.333333333333334,Hold
325,13.75,No action
326,2.3333333333333335,No action
327,3.0833333333333335,Hold
328,7.333333333333333,Hold
329,8.5,Hold
330,8.916666666666666,Hold
331,9.75,No action
332,9.25,No action
333,9.583333333333334,Hold
334,11.583333333333334,Hold
335,11.916666666666666,Hold
336,7.5,No action
337,7.833333333333333,No action
338,11.5,No action
339,13.583333333333334,Hold
340,20.416666666666668,Hold
341,23.0,Hold
342,16.583333333333332,No action
343,10.083333333333334,No action
344,11.75,Hold
345,15.833333333333334,Hold
346,18.5,Hold
347,19.75,Hold
348,20.166666666666668,No action
349,17.333333333333332,No action
350,11.416666666666666,Hold
351,14.75,Hold
352,18.083333333333332,No action
353,11.166666666666666,Hold
354,12.416666666666666,No action
355,14.833333333333334,No action
356,11.583333333333334,Hold
357,13.583333333333334,Hold
358,12.166666666666666,Hold
359,11.166666666666666,Hold
360,12.5,Hold
361,10.166666666666666,No action
362,12.583333333333334,Hold
363,14.583333333333334,Hold
364,18.833333333333332,Hold
365,19.5,Hold
366,20.333333333333332,Hold
367,15.333333333333334,No action
368,5.25,Hold
369,7.333333333333333,Hold
370,9.833333333333334,Hold
371,6.75,Hold
372,7.25,No action
373,7.5,No action
374,3.75,Hold
375,5.75,Hold
376,5.666666666666667,Hold
377,6.333333333333333,No action
378,2.4166666666666665,Hold
379,3.3333333333333335,No action
380,5.75,No action
381,9.416666666666666,No action
382,10.083333333333334,Hold
383,4.833333333333333,No action
384,5.666666666666667,No action
385,6.5,Hold
386,6.833333333333333,Hold
387,4.083333333333333,Hold
388,3.6666666666666665,No action
389,4.083333333333333,Hold
390,4.666666666666667,No action
391,11.25,Hold
392,10.5,Hold
393,11.333333333333334,No action
394,11.666666666666666,Hold
395,9.583333333333334,No action
396,10.166666666666666,Hold
397,11.0,No action
398,7.583333333333333,No action
399,11.083333333333334,Hold
400,10.75,Hold
401,7.833333333333333,No action
402,8.083333333333334,Hold
403,10.083333333333334,Hold
404,12.083333333333334,Hold
405,14.666666666666666,Hold
406,11.333333333333334,Hold
407,11.25,No action
408,9.75,No action
409,10.25,Hold
410,6.75,Hold
411,16.166666666666668,Hold
412,16.75,No action
413,17.833333333333332,No action
414,11.583333333333334,No action
415,12.166666666666666,Hold
416,10.916666666666666,Hold
417,22.0,No action
418,19.833333333333332,Hold
419,21.583333333333332,No action
420,20.583333333333332,No action
421,21.083333333333332,Hold
422,13.666666666666666,Hold
423,19.0,Hold
424,20.916666666666668,Hold
425,17.833333333333332,No action
426,10.916666666666666,Hold
427,6.166666666666667,Hold
428,9.0,Hold
429,10.166666666666666,Hold
430,11.416666666666666,No action
