,meanWaitTime,action
0,0.0,No action
1,11.083333333333334,No action
2,12.083333333333334,No action
3,22.75,No action
4,25.333333333333332,No action
5,26.333333333333332,No action
6,9.833333333333334,No action
7,13.916666666666666,No action
8,10.25,No action
9,9.916666666666666,No action
10,10.583333333333334,No action
11,17.25,No action
12,15.333333333333334,No action
13,18.916666666666668,No action
14,19.75,No action
15,16.25,No action
16,8.0,No action
17,3.0,No action
18,7.083333333333333,No action
19,7.5,No action
20,12.083333333333334,No action
21,13.083333333333334,No action
22,11.666666666666666,No action
23,12.0,No action
24,11.166666666666666,No action
25,11.5,No action
26,14.75,No action
27,16.75,No action
28,11.25,No action
29,11.833333333333334,No action
30,8.25,No action
31,8.5,No action
32,11.0,No action
33,13.583333333333334,No action
34,12.0,No action
35,5.0,No action
36,8.0,No action
37,8.333333333333334,No action
38,13.0,No action
39,17.166666666666668,No action
40,17.75,No action
41,12.0,No action
42,12.25,No action
43,12.583333333333334,No action
44,13.666666666666666,No action
45,16.666666666666668,No action
46,16.0,No action
47,16.5,No action
48,8.333333333333334,No action
49,8.75,No action
50,11.916666666666666,No action
51,11.166666666666666,No action
52,8.75,No action
53,8.666666666666666,No action
54,11.583333333333334,No action
55,12.0,No action
56,16.166666666666668,No action
57,19.75,No action
58,17.666666666666668,No action
59,19.166666666666668,No action
60,15.333333333333334,No action
61,16.166666666666668,No action
62,11.5,No action
63,12.0,No action
64,12.416666666666666,No action
65,14.166666666666666,No action
66,10.666666666666666,No action
67,7.833333333333333,No action
68,9.166666666666666,No action
69,11.166666666666666,No action
70,8.333333333333334,No action
71,9.166666666666666,No action
72,8.916666666666666,No action
73,6.333333333333333,No action
74,7.583333333333333,No action
75,6.333333333333333,No action
76,7.333333333333333,No action
77,5.333333333333333,No action
78,5.583333333333333,No action
79,8.5,No action
80,11.166666666666666,No action
81,12.5,No action
82,13.416666666666666,No action
83,11.833333333333334,No action
84,8.75,No action
85,5.916666666666667,No action
86,8.416666666666666,No action
87,10.916666666666666,No action
88,11.0,No action
89,12.5,No action
90,12.0,No action
91,15.166666666666666,No action
92,15.666666666666666,No action
93,15.833333333333334,No action
94,20.333333333333332,No action
95,15.0,No action
96,17.0,No action
97,11.166666666666666,No action
98,7.416666666666667,No action
99,8.25,No action
100,11.75,No action
101,10.5,No action
102,12.833333333333334,No action
103,12.0,No action
104,12.833333333333334,No action
105,16.666666666666668,No action
106,12.25,No action
107,14.333333333333334,No action
108,15.583333333333334,No action
109,13.333333333333334,No action
110,17.5,No action
111,18.333333333333332,No action
112,15.25,No action
113,17.75,No action
114,16.25,No action
115,13.416666666666666,No action
116,14.75,No action
117,17.416666666666668,No action
118,12.166666666666666,No action
119,14.916666666666666,No action
120,13.916666666666666,No action
121,15.0,No action
122,15.833333333333334,No action
123,20.416666666666668,No action
124,17.083333333333332,No action
125,18.583333333333332,No action
126,20.583333333333332,No action
127,21.083333333333332,No action
128,28.75,No action
129,23.333333333333332,No action
130,23.833333333333332,No action
131,15.416666666666666,No action
132,17.416666666666668,No action
133,25.5,No action
134,19.5,No action
135,19.916666666666668,No action
136,9.833333333333334,No action
137,10.5,No action
138,10.5,No action
139,15.083333333333334,No action
140,16.333333333333332,No action
141,17.166666666666668,No action
142,7.0,No action
143,7.583333333333333,No action
144,11.916666666666666,No action
145,17.166666666666668,No action
146,14.416666666666666,No action
147,19.916666666666668,No action
148,20.916666666666668,No action
149,22.333333333333332,No action
150,19.333333333333332,No action
151,24.583333333333332,No action
152,24.5,No action
153,17.166666666666668,No action
154,26.25,No action
155,22.833333333333332,No action
156,22.583333333333332,No action
157,18.75,No action
158,19.75,No action
159,21.0,No action
160,16.333333333333332,No action
161,19.5,No action
162,21.833333333333332,No action
163,19.166666666666668,No action
164,19.666666666666668,No action
165,17.5,No action
166,18.333333333333332,No action
167,15.083333333333334,No action
168,18.166666666666668,No action
169,14.083333333333334,No action
170,10.916666666666666,No action
171,13.416666666666666,No action
172,14.416666666666666,No action
173,12.583333333333334,No action
174,16.416666666666668,No action
175,13.416666666666666,No action
176,14.333333333333334,No action
177,16.833333333333332,No action
178,13.25,No action
179,17.0,No action
180,19.666666666666668,No action
181,17.833333333333332,No action
182,20.0,No action
183,21.0,No action
184,16.25,No action
185,17.916666666666668,No action
186,25.333333333333332,No action
187,26.0,No action
188,20.25,No action
189,22.583333333333332,No action
190,23.75,No action
191,20.916666666666668,No action
192,21.583333333333332,No action
193,16.666666666666668,No action
194,17.333333333333332,No action
195,18.25,No action
196,24.0,No action
197,21.333333333333332,No action
198,17.833333333333332,No action
199,21.75,No action
200,22.416666666666668,No action
201,23.083333333333332,No action
202,33.0,No action
203,30.166666666666668,No action
204,27.25,No action
205,27.5,No action
206,28.75,No action
207,29.916666666666668,No action
208,40.416666666666664,No action
209,41.583333333333336,No action
210,32.666666666666664,No action
211,21.0,No action
212,22.666666666666668,No action
213,23.5,No action
214,35.083333333333336,No action
215,36.583333333333336,No action
216,37.083333333333336,No action
217,12.333333333333334,No action
218,13.916666666666666,No action
219,22.083333333333332,No action
220,25.416666666666668,No action
221,21.25,No action
222,18.75,No action
223,21.416666666666668,No action
224,22.583333333333332,No action
225,22.166666666666668,No action
226,25.25,No action
227,22.333333333333332,No action
228,18.166666666666668,No action
229,22.833333333333332,No action
230,23.833333333333332,No action
231,27.833333333333332,No action
232,25.25,No action
233,28.5,No action
234,23.083333333333332,No action
235,24.25,No action
236,24.666666666666668,No action
237,27.75,No action
238,28.25,No action
239,32.916666666666664,No action
240,34.083333333333336,No action
241,36.333333333333336,No action
242,36.75,No action
243,37.75,No action
244,41.25,No action
245,45.25,No action
246,45.666666666666664,No action
247,34.333333333333336,No action
248,36.0,No action
249,38.333333333333336,No action
250,39.333333333333336,No action
251,45.333333333333336,No action
252,32.416666666666664,No action
253,34.416666666666664,No action
254,35.916666666666664,No action
255,36.833333333333336,No action
256,39.75,No action
257,42.25,No action
258,43.916666666666664,No action
259,33.083333333333336,No action
260,33.5,No action
261,36.75,No action
262,38.25,No action
263,42.75,No action
264,41.083333333333336,No action
265,35.083333333333336,No action
266,31.25,No action
267,34.0,No action
268,36.5,No action
269,37.25,No action
270,22.0,No action
271,22.416666666666668,No action
272,18.666666666666668,No action
273,25.0,No action
274,14.666666666666666,No action
275,13.0,No action
276,13.416666666666666,No action
277,15.916666666666666,No action
278,19.25,No action
279,20.166666666666668,No action
280,21.916666666666668,No action
281,25.25,No action
282,26.916666666666668,No action
283,22.083333333333332,No action
284,26.666666666666668,No action
285,30.333333333333332,No action
286,27.25,No action
287,27.833333333333332,No action
288,30.166666666666668,No action
289,30.333333333333332,No action
290,41.833333333333336,No action
291,42.5,No action
292,41.166666666666664,No action
293,43.416666666666664,No action
294,43.833333333333336,No action
295,40.583333333333336,No action
296,55.166666666666664,No action
297,51.916666666666664,No action
298,49.166666666666664,No action
299,50.5,No action
300,47.166666666666664,No action
301,47.75,No action
302,59.416666666666664,No action
303,58.833333333333336,No action
304,59.5,No action
305,60.833333333333336,No action
306,42.75,No action
307,44.083333333333336,No action
308,54.083333333333336,No action
309,55.75,No action
310,56.25,No action
311,57.25,No action
312,38.166666666666664,No action
313,40.083333333333336,No action
314,49.666666666666664,No action
315,51.0,No action
316,53.0,No action
317,54.0,No action
318,47.333333333333336,No action
319,43.75,No action
320,50.833333333333336,No action
321,53.75,No action
322,55.0,No action
323,55.833333333333336,No action
324,43.083333333333336,No action
325,39.75,No action
326,47.166666666666664,No action
327,51.083333333333336,No action
328,52.25,No action
329,52.833333333333336,No action
330,53.416666666666664,No action
331,37.333333333333336,No action
332,43.75,No action
333,42.833333333333336,No action
334,44.333333333333336,No action
335,42.083333333333336,No action
336,43.25,No action
337,33.583333333333336,No action
338,36.25,No action
339,39.083333333333336,No action
340,39.666666666666664,No action
341,40.25,No action
342,47.583333333333336,No action
343,35.75,No action
344,32.25,No action
345,33.583333333333336,No action
346,35.583333333333336,No action
347,35.25,No action
348,50.0,No action
349,50.833333333333336,No action
350,37.916666666666664,No action
351,40.083333333333336,No action
352,40.833333333333336,No action
353,41.75,No action
354,53.083333333333336,No action
355,55.083333333333336,No action
356,52.75,No action
357,54.25,No action
358,57.916666666666664,No action
359,70.66666666666667,No action
360,72.16666666666667,No action
361,68.83333333333333,No action
362,73.25,No action
363,74.0,No action
364,75.66666666666667,No action
365,90.66666666666667,No action
366,87.5,No action
367,74.0,No action
368,71.25,No action
369,75.66666666666667,No action
370,90.0,No action
371,90.08333333333333,No action
372,91.58333333333333,No action
373,92.33333333333333,No action
374,78.08333333333333,No action
375,80.08333333333333,No action
376,88.08333333333333,No action
377,87.41666666666667,No action
378,90.91666666666667,No action
379,92.08333333333333,No action
380,73.75,No action
381,75.75,No action
382,81.75,No action
383,85.75,No action
384,87.25,No action
385,89.66666666666667,No action
386,81.58333333333333,No action
387,71.16666666666667,No action
388,77.25,No action
389,81.33333333333333,No action
390,85.41666666666667,No action
391,86.0,No action
392,86.58333333333333,No action
393,66.08333333333333,No action
394,73.08333333333333,No action
395,77.16666666666667,No action
396,78.33333333333333,No action
397,81.83333333333333,No action
398,67.83333333333333,No action
399,73.08333333333333,No action
400,71.0,No action
401,75.08333333333333,No action
402,77.41666666666667,No action
403,63.5,No action
404,61.5,No action
405,63.0,No action
406,62.833333333333336,No action
407,66.33333333333333,No action
408,71.5,No action
409,73.5,No action
410,64.66666666666667,No action
411,55.416666666666664,No action
412,59.416666666666664,No action
413,72.91666666666667,No action
414,73.33333333333333,No action
415,57.333333333333336,No action
416,62.166666666666664,No action
417,62.916666666666664,No action
418,67.58333333333333,No action
419,75.33333333333333,No action
420,76.66666666666667,No action
421,52.75,No action
422,56.75,No action
423,69.58333333333333,No action
424,68.25,No action
