,meanWaitTime,action
0,0.0,No action
1,10.083333333333334,No action
2,19.333333333333332,No action
3,28.75,No action
4,8.416666666666666,No action
5,14.916666666666666,No action
6,11.833333333333334,No action
7,12.416666666666666,No action
8,17.166666666666668,No action
9,15.166666666666666,No action
10,16.083333333333332,No action
11,19.333333333333332,No action
12,7.666666666666667,No action
13,2.9166666666666665,No action
14,3.5,No action
15,7.333333333333333,No action
16,12.333333333333334,No action
17,11.166666666666666,No action
18,11.333333333333334,No action
19,13.0,No action
20,11.583333333333334,No action
21,13.833333333333334,No action
22,14.666666666666666,No action
23,10.5,No action
24,17.25,No action
25,18.5,No action
26,13.25,No action
27,13.583333333333334,No action
28,9.166666666666666,No action
29,14.0,No action
30,14.583333333333334,No action
31,16.916666666666668,No action
32,17.916666666666668,No action
33,13.166666666666666,No action
34,15.166666666666666,No action
35,24.583333333333332,No action
36,25.916666666666668,No action
37,26.666666666666668,No action
38,28.0,No action
39,22.666666666666668,No action
40,20.833333333333332,No action
41,21.416666666666668,No action
42,16.25,No action
43,17.083333333333332,No action
44,16.5,No action
45,11.25,No action
46,15.416666666666666,No action
47,17.75,No action
48,21.0,No action
49,15.5,No action
50,17.166666666666668,No action
51,19.583333333333332,No action
52,20.083333333333332,No action
53,24.083333333333332,No action
54,24.583333333333332,No action
55,13.666666666666666,No action
56,14.5,No action
57,24.0,No action
58,25.0,No action
59,18.25,No action
60,11.583333333333334,No action
61,12.25,No action
62,13.0,No action
63,21.416666666666668,No action
64,17.083333333333332,No action
65,19.166666666666668,No action
66,20.166666666666668,No action
67,13.0,No action
68,14.916666666666666,No action
69,18.916666666666668,No action
70,15.416666666666666,No action
71,15.75,No action
72,21.75,No action
73,22.75,No action
74,17.166666666666668,No action
75,18.166666666666668,No action
76,18.833333333333332,No action
77,22.0,No action
78,20.5,No action
79,23.416666666666668,No action
80,23.833333333333332,No action
81,24.166666666666668,No action
82,26.666666666666668,No action
83,25.75,No action
84,26.583333333333332,No action
85,31.5,No action
86,34.666666666666664,No action
87,39.166666666666664,No action
88,40.416666666666664,No action
89,29.5,No action
90,33.5,No action
91,32.75,No action
92,33.583333333333336,No action
93,41.916666666666664,No action
94,43.083333333333336,No action
95,26.25,No action
96,29.583333333333332,No action
97,30.0,No action
98,30.416666666666668,No action
99,38.916666666666664,No action
100,39.916666666666664,No action
101,21.083333333333332,No action
102,21.916666666666668,No action
103,23.166666666666668,No action
104,22.833333333333332,No action
105,28.166666666666668,No action
106,32.666666666666664,No action
107,29.5,No action
108,24.25,No action
109,25.25,No action
110,26.75,No action
111,26.75,No action
112,30.666666666666668,No action
113,29.0,No action
114,35.75,No action
115,22.583333333333332,No action
116,24.416666666666668,No action
117,25.166666666666668,No action
118,24.75,No action
119,24.416666666666668,No action
120,37.583333333333336,No action
121,38.166666666666664,No action
122,38.75,No action
123,29.083333333333332,No action
124,29.0,No action
125,30.75,No action
126,43.416666666666664,No action
127,43.666666666666664,No action
128,44.916666666666664,No action
129,33.25,No action
130,35.75,No action
131,42.75,No action
132,47.833333333333336,No action
133,48.666666666666664,No action
134,49.5,No action
