,meanWaitTime,action
0,11.083333333333334,No action
1,11.083333333333334,No action
2,14.083333333333334,No action
3,21.166666666666668,No action
4,23.916666666666668,No action
5,26.666666666666668,No action
6,28.5,No action
7,31.25,No action
8,39.166666666666664,No action
9,40.833333333333336,No action
10,42.5,No action
11,44.166666666666664,No action
12,46.666666666666664,No action
13,56.666666666666664,No action
14,58.5,No action
15,63.416666666666664,No action
16,65.91666666666667,No action
17,68.41666666666667,No action
18,70.08333333333333,No action
19,79.25,No action
20,81.5,No action
21,84.0,No action
22,86.5,No action
23,88.16666666666667,No action
24,89.83333333333333,No action
25,101.5,No action
26,101.16666666666667,No action
27,106.41666666666667,No action
28,108.66666666666667,No action
29,111.16666666666667,No action
30,112.83333333333333,No action
31,120.33333333333333,No action
32,117.66666666666667,No action
33,122.83333333333333,No action
34,125.25,No action
35,127.75,No action
36,129.41666666666666,No action
37,136.91666666666666,No action
38,138.0,No action
39,145.33333333333334,No action
40,147.83333333333334,No action
41,150.33333333333334,No action
42,152.0,No action
43,157.83333333333334,No action
44,151.5,No action
45,156.41666666666666,No action
46,158.91666666666666,No action
47,161.41666666666666,No action
48,163.08333333333334,No action
49,171.41666666666666,No action
50,160.58333333333334,No action
51,165.25,No action
52,167.75,No action
53,170.25,No action
54,171.91666666666666,No action
55,181.16666666666666,No action
56,170.91666666666666,No action
57,173.66666666666666,No action
58,176.41666666666666,No action
59,178.25,No action
60,180.08333333333334,No action
61,192.91666666666666,No action
62,175.5,No action
63,180.5,No action
64,183.0,No action
65,185.5,No action
66,187.16666666666666,No action
67,195.5,No action
68,174.41666666666666,No action
69,178.91666666666666,No action
70,181.16666666666666,No action
71,183.41666666666666,No action
72,184.91666666666666,No action
73,192.91666666666666,No action
74,190.66666666666666,No action
75,195.16666666666666,No action
76,197.41666666666666,No action
77,199.66666666666666,No action
78,201.16666666666666,No action
79,208.66666666666666,No action
80,178.75,No action
81,181.0,No action
82,183.25,No action
83,184.75,No action
84,186.25,No action
85,197.83333333333334,No action
86,168.91666666666666,No action
87,171.41666666666666,No action
88,173.91666666666666,No action
89,175.58333333333334,No action
90,177.25,No action
91,188.91666666666666,No action
92,163.58333333333334,No action
93,168.0,No action
94,170.33333333333334,No action
