,meanWaitTime,action
0,0.0,No action
1,11.083333333333334,No action
2,12.083333333333334,No action
3,22.75,No action
4,25.333333333333332,No action
5,26.333333333333332,No action
6,9.833333333333334,No action
7,13.0,No action
8,9.833333333333334,No action
9,9.0,No action
10,10.416666666666666,No action
11,15.416666666666666,No action
12,15.666666666666666,No action
13,17.166666666666668,No action
14,14.0,Hold
15,15.0,No action
16,5.666666666666667,No action
17,2.5833333333333335,No action
18,4.916666666666667,No action
19,9.333333333333334,No action
20,8.583333333333334,Hold
21,6.583333333333333,Skip
22,7.416666666666667,No action
23,9.583333333333334,No action
24,13.333333333333334,No action
25,14.166666666666666,No action
26,13.25,No action
27,14.0,No action
28,14.833333333333334,No action
29,6.833333333333333,No action
30,8.75,No action
31,9.25,No action
32,12.5,No action
33,13.333333333333334,No action
34,6.5,No action
35,6.583333333333333,No action
36,8.083333333333334,No action
37,12.083333333333334,No action
38,13.083333333333334,No action
39,11.416666666666666,No action
40,11.75,No action
41,12.583333333333334,No action
42,7.25,No action
43,5.083333333333333,No action
44,9.166666666666666,No action
45,12.916666666666666,No action
46,11.083333333333334,No action
47,12.333333333333334,No action
48,9.833333333333334,No action
49,12.833333333333334,No action
50,14.916666666666666,No action
51,16.583333333333332,No action
52,20.75,No action
53,17.666666666666668,No action
54,23.166666666666668,No action
55,20.666666666666668,No action
56,21.083333333333332,No action
57,16.083333333333332,No action
58,11.916666666666666,No action
59,13.583333333333334,No action
60,17.666666666666668,No action
61,17.166666666666668,No action
62,17.583333333333332,No action
63,12.083333333333334,No action
64,8.75,No action
65,9.833333333333334,No action
66,14.416666666666666,No action
67,13.0,No action
68,13.833333333333334,No action
69,8.583333333333334,No action
70,6.25,No action
71,7.916666666666667,No action
72,12.416666666666666,No action
73,10.666666666666666,No action
74,10.166666666666666,No action
75,7.166666666666667,No action
76,8.416666666666666,No action
77,10.25,No action
78,13.166666666666666,No action
79,13.416666666666666,No action
80,9.75,No action
81,11.0,No action
82,11.666666666666666,No action
83,7.916666666666667,No action
84,14.75,No action
85,15.25,No action
86,15.75,No action
87,10.583333333333334,No action
88,10.583333333333334,No action
89,11.833333333333334,No action
90,13.5,No action
91,14.5,Hold
92,12.75,Skip
93,12.833333333333334,No action
94,14.083333333333334,No action
95,15.25,No action
96,17.666666666666668,No action
97,12.166666666666666,No action
98,15.083333333333334,Hold
99,17.25,Skip
100,18.5,No action
101,18.75,No action
102,17.916666666666668,No action
103,15.666666666666666,No action
104,16.75,No action
105,14.333333333333334,No action
106,14.583333333333334,No action
107,4.0,No action
108,5.25,No action
109,6.916666666666667,No action
110,8.25,No action
111,5.666666666666667,No action
112,5.916666666666667,No action
113,4.916666666666667,No action
114,1.75,No action
115,2.4166666666666665,No action
116,5.166666666666667,No action
117,4.166666666666667,No action
118,3.5833333333333335,No action
119,3.0,No action
120,4.25,No action
121,7.75,No action
122,8.75,No action
123,10.0,No action
124,11.0,No action
125,12.583333333333334,No action
126,18.666666666666668,No action
127,12.5,No action
128,14.916666666666666,No action
129,10.25,No action
130,11.583333333333334,No action
131,17.833333333333332,No action
132,12.833333333333334,No action
133,16.083333333333332,No action
134,13.75,No action
135,9.833333333333334,No action
136,10.666666666666666,No action
137,18.916666666666668,No action
138,17.416666666666668,No action
139,20.333333333333332,No action
140,21.5,No action
141,16.75,No action
142,14.333333333333334,No action
143,18.666666666666668,No action
144,14.666666666666666,No action
145,16.583333333333332,No action
146,14.416666666666666,No action
147,14.833333333333334,No action
148,5.75,No action
149,10.0,No action
150,8.666666666666666,No action
151,10.416666666666666,No action
152,10.833333333333334,No action
153,11.25,No action
154,6.416666666666667,No action
155,8.25,No action
156,9.083333333333334,No action
157,10.583333333333334,No action
158,11.083333333333334,No action
159,10.25,No action
160,8.833333333333334,No action
161,13.416666666666666,No action
162,20.416666666666668,Hold
163,21.083333333333332,No action
164,15.5,No action
165,26.583333333333332,No action
166,22.583333333333332,No action
167,19.833333333333332,Hold
168,21.416666666666668,Skip
169,22.083333333333332,No action
170,22.75,No action
171,26.75,No action
172,23.833333333333332,No action
173,20.166666666666668,No action
174,21.75,No action
175,22.166666666666668,No action
176,22.083333333333332,No action
177,18.833333333333332,No action
178,10.833333333333334,No action
179,11.833333333333334,No action
180,13.833333333333334,Hold
181,16.333333333333332,Skip
182,21.416666666666668,No action
183,23.083333333333332,No action
184,23.583333333333332,No action
185,17.833333333333332,No action
186,21.166666666666668,No action
187,28.583333333333332,No action
188,23.333333333333332,No action
189,23.833333333333332,No action
190,20.666666666666668,No action
191,15.0,No action
192,18.25,No action
193,19.166666666666668,No action
194,16.166666666666668,No action
195,12.666666666666666,No action
196,10.083333333333334,No action
197,17.666666666666668,No action
198,18.833333333333332,No action
199,22.916666666666668,No action
200,23.5,No action
201,24.166666666666668,No action
202,17.833333333333332,No action
203,19.25,No action
204,19.5,No action
205,21.0,No action
206,21.5,No action
207,15.0,No action
208,11.25,No action
209,14.166666666666666,No action
210,13.166666666666666,No action
211,14.833333333333334,No action
212,15.833333333333334,No action
213,12.666666666666666,No action
214,8.583333333333334,No action
215,10.25,No action
216,11.75,No action
217,15.083333333333334,No action
218,16.0,No action
219,18.916666666666668,No action
220,15.0,No action
221,14.416666666666666,No action
222,15.083333333333334,No action
223,18.083333333333332,No action
224,21.416666666666668,No action
225,16.833333333333332,No action
226,12.833333333333334,No action
227,13.916666666666666,No action
228,14.333333333333334,No action
229,14.75,No action
230,20.5,No action
231,21.5,No action
232,8.5,No action
233,8.583333333333334,No action
234,8.166666666666666,No action
235,10.333333333333334,No action
236,10.166666666666666,No action
237,11.166666666666666,No action
238,12.5,No action
239,11.666666666666666,No action
240,12.5,No action
241,16.5,No action
242,18.25,No action
243,21.75,No action
244,15.583333333333334,No action
245,16.583333333333332,No action
246,14.166666666666666,No action
247,13.666666666666666,Hold
248,15.0,Skip
249,19.333333333333332,No action
250,19.75,No action
251,9.916666666666666,No action
252,12.083333333333334,No action
253,20.166666666666668,Skip
254,21.666666666666668,No action
255,18.5,Hold
256,22.25,Skip
257,23.25,No action
258,28.25,No action
259,34.0,No action
260,31.666666666666668,No action
261,27.416666666666668,No action
262,29.916666666666668,No action
263,24.0,No action
264,21.166666666666668,No action
265,27.083333333333332,No action
266,28.583333333333332,No action
267,21.0,No action
268,23.833333333333332,No action
269,24.833333333333332,No action
270,20.75,No action
271,22.75,No action
272,24.416666666666668,No action
273,25.25,No action
274,17.0,No action
275,17.416666666666668,No action
276,16.833333333333332,No action
277,24.333333333333332,No action
278,27.25,No action
279,25.166666666666668,No action
280,16.75,No action
281,17.166666666666668,No action
282,16.916666666666668,No action
283,20.166666666666668,No action
284,22.5,No action
285,21.166666666666668,No action
286,13.5,No action
287,8.083333333333334,No action
288,5.25,No action
289,6.75,No action
290,8.583333333333334,No action
291,8.75,No action
292,5.0,Hold
293,5.833333333333333,No action
294,6.5,Skip
295,10.166666666666666,No action
296,13.0,Hold
297,13.5,Skip
298,17.0,No action
299,15.833333333333334,No action
300,18.5,No action
301,17.166666666666668,No action
302,13.166666666666666,No action
303,20.083333333333332,No action
304,21.166666666666668,No action
305,24.416666666666668,No action
306,22.25,No action
307,22.833333333333332,No action
308,23.083333333333332,No action
309,17.25,No action
310,18.0,No action
311,18.083333333333332,No action
312,19.25,No action
313,24.666666666666668,No action
314,25.5,No action
315,26.333333333333332,No action
316,21.25,No action
317,21.916666666666668,No action
318,24.583333333333332,No action
319,28.083333333333332,No action
320,28.583333333333332,No action
321,18.0,No action
322,19.333333333333332,No action
323,20.166666666666668,No action
324,22.166666666666668,No action
325,22.5,No action
326,23.5,Hold
327,26.833333333333332,No action
328,27.25,Skip
329,33.166666666666664,No action
330,33.666666666666664,No action
331,36.166666666666664,No action
332,38.5,No action
333,33.083333333333336,No action
334,34.333333333333336,No action
335,18.833333333333332,Hold
336,21.083333333333332,Skip
337,24.083333333333332,No action
338,28.083333333333332,No action
339,25.833333333333332,No action
340,27.333333333333332,No action
341,32.833333333333336,No action
342,33.5,No action
343,34.666666666666664,No action
344,33.083333333333336,Hold
345,34.083333333333336,No action
346,32.833333333333336,Skip
347,37.75,No action
348,39.0,No action
349,38.083333333333336,No action
350,39.583333333333336,No action
351,29.75,No action
352,32.916666666666664,Hold
353,33.416666666666664,Skip
354,34.583333333333336,No action
355,32.416666666666664,No action
356,35.75,No action
357,26.416666666666668,No action
358,26.666666666666668,No action
359,26.5,No action
360,28.5,Hold
361,30.833333333333332,Skip
362,31.166666666666668,No action
363,34.083333333333336,No action
364,32.0,No action
365,33.75,No action
366,36.666666666666664,No action
367,37.083333333333336,No action
368,40.5,No action
369,41.0,No action
370,29.083333333333332,No action
371,20.333333333333332,No action
372,21.5,No action
373,22.833333333333332,No action
374,18.0,Hold
375,19.5,No action
376,20.0,No action
377,20.5,Skip
378,23.75,No action
379,29.25,No action
380,30.666666666666668,No action
381,30.5,Hold
382,32.666666666666664,Skip
383,36.166666666666664,No action
384,44.333333333333336,No action
385,45.666666666666664,No action
386,30.583333333333332,No action
387,36.083333333333336,No action
388,36.583333333333336,No action
389,37.083333333333336,No action
390,34.083333333333336,Hold
391,35.083333333333336,Skip
392,35.583333333333336,No action
393,30.5,No action
394,31.666666666666668,No action
395,31.583333333333332,No action
396,34.583333333333336,No action
397,39.083333333333336,No action
398,33.75,No action
399,34.166666666666664,No action
400,35.0,No action
401,35.416666666666664,No action
402,37.333333333333336,No action
403,41.916666666666664,No action
404,31.333333333333332,No action
405,33.416666666666664,No action
406,34.25,No action
407,32.416666666666664,No action
408,36.333333333333336,No action
409,40.0,No action
410,40.833333333333336,No action
411,27.75,No action
412,28.166666666666668,No action
413,27.75,No action
414,32.833333333333336,No action
415,38.25,No action
