,meanWaitTime,action
0,0.0,No action
1,10.083333333333334,No action
2,19.333333333333332,No action
3,28.75,No action
4,8.416666666666666,No action
5,14.916666666666666,No action
6,11.916666666666666,Hold
7,17.25,No action
8,21.666666666666668,No action
9,7.583333333333333,No action
10,6.166666666666667,No action
11,5.5,No action
12,7.166666666666667,Hold
13,8.25,No action
14,8.583333333333334,No action
15,6.75,Skip
16,8.166666666666666,No action
17,10.666666666666666,No action
18,12.0,No action
19,11.833333333333334,Hold
20,8.5,No action
21,9.5,No action
22,11.083333333333334,Skip
23,12.833333333333334,No action
24,13.833333333333334,No action
25,13.0,No action
26,15.333333333333334,No action
27,13.166666666666666,Hold
28,6.666666666666667,No action
29,8.333333333333334,No action
30,7.25,Skip
31,9.0,No action
32,12.5,No action
33,16.666666666666668,No action
34,15.416666666666666,Hold
35,18.166666666666668,Hold
36,16.083333333333332,No action
37,20.416666666666668,No action
38,21.583333333333332,Skip
39,20.0,No action
40,26.0,No action
41,26.25,Hold
42,30.583333333333332,Hold
43,26.25,No action
44,24.166666666666668,No action
45,24.75,Skip
46,20.416666666666668,No action
47,28.666666666666668,No action
48,25.416666666666668,Hold
49,27.583333333333332,No action
50,27.583333333333332,Hold
51,20.5,No action
52,21.333333333333332,Skip
53,19.916666666666668,No action
54,18.166666666666668,No action
55,20.833333333333332,Hold
56,28.0,Hold
57,31.5,No action
58,32.666666666666664,Skip
59,28.083333333333332,No action
60,35.75,Hold
61,44.5,Hold
62,32.083333333333336,No action
63,33.083333333333336,No action
64,32.25,Skip
65,27.25,No action
66,35.666666666666664,Hold
67,39.166666666666664,No action
68,38.25,Hold
69,25.25,No action
70,26.083333333333332,Skip
71,26.916666666666668,No action
72,37.25,Hold
73,39.583333333333336,No action
74,46.583333333333336,Hold
75,33.833333333333336,No action
76,35.0,Skip
77,30.333333333333332,No action
78,35.75,Hold
79,38.75,No action
80,41.833333333333336,Hold
81,30.0,No action
82,30.416666666666668,Skip
83,31.25,No action
84,36.166666666666664,Hold
85,39.083333333333336,No action
86,43.666666666666664,No action
87,36.75,Skip
88,32.416666666666664,No action
89,32.75,No action
90,38.666666666666664,Hold
91,32.916666666666664,No action
92,33.25,No action
93,33.916666666666664,Skip
94,25.25,No action
95,26.833333333333332,No action
96,33.083333333333336,Hold
97,33.5,No action
98,14.166666666666666,No action
99,14.5,No action
100,15.166666666666666,Skip
101,22.083333333333332,No action
102,23.75,No action
103,26.666666666666668,No action
104,17.333333333333332,Hold
105,14.75,No action
106,12.25,Skip
107,18.25,No action
108,22.166666666666668,No action
109,25.666666666666668,Hold
110,29.166666666666668,No action
111,30.333333333333332,No action
112,30.916666666666668,Skip
113,37.083333333333336,No action
114,35.416666666666664,Hold
115,39.916666666666664,No action
116,31.0,Hold
117,31.583333333333332,No action
118,28.083333333333332,Skip
119,31.0,No action
120,32.916666666666664,Hold
121,36.5,No action
122,24.166666666666668,No action
123,23.833333333333332,Hold
124,28.083333333333332,Skip
125,32.166666666666664,No action
126,30.25,No action
127,30.416666666666668,Hold
128,33.916666666666664,No action
129,36.416666666666664,Hold
