,meanWaitTime,action
0,11.083333333333334,Skip
1,11.083333333333334,Skip
2,14.083333333333334,Hold
3,31.25,Skip
4,34.0,Hold
5,51.416666666666664,No action
6,52.333333333333336,Hold
7,56.0,Skip
8,70.66666666666667,Hold
9,72.5,No action
10,74.33333333333333,Hold
11,76.41666666666667,Skip
12,72.66666666666667,Hold
13,78.66666666666667,Hold
14,80.16666666666667,Hold
15,84.66666666666667,Skip
16,93.66666666666667,Hold
17,96.66666666666667,Skip
18,101.91666666666667,No action
19,96.66666666666667,Hold
20,99.41666666666667,Hold
21,100.16666666666667,No action
22,101.41666666666667,Skip
23,88.75,No action
24,90.58333333333333,Hold
25,82.0,Skip
26,86.5,Hold
27,89.16666666666667,Skip
28,97.75,Hold
29,98.66666666666667,Skip
30,101.33333333333333,Hold
31,98.66666666666667,Hold
32,99.25,Skip
33,105.75,No action
34,107.08333333333333,Hold
35,96.66666666666667,No action
36,98.33333333333333,No action
37,92.25,Hold
38,87.41666666666667,Skip
39,83.91666666666667,No action
40,77.91666666666667,Hold
41,72.25,No action
42,73.66666666666667,No action
43,74.25,No action
44,75.41666666666667,Skip
45,79.0,No action
46,58.583333333333336,Hold
47,47.0,No action
48,51.833333333333336,Hold
49,52.833333333333336,No action
50,53.333333333333336,Skip
51,60.666666666666664,No action
52,39.583333333333336,Hold
53,41.333333333333336,No action
54,52.0,No action
55,52.666666666666664,Skip
56,57.083333333333336,No action
57,57.833333333333336,Hold
58,54.333333333333336,No action
59,63.166666666666664,No action
60,63.75,No action
61,69.25,No action
62,63.75,Hold
63,66.25,No action
64,73.75,No action
65,74.25,No action
66,74.75,Skip
67,81.08333333333333,No action
68,61.75,No action
69,65.25,Hold
70,71.75,No action
71,72.16666666666667,Skip
72,73.83333333333333,Hold
73,77.16666666666667,Skip
74,82.75,Hold
75,89.91666666666667,No action
76,70.08333333333333,Hold
77,70.58333333333333,Skip
78,71.08333333333333,Skip
79,73.58333333333333,No action
80,58.75,Hold
81,59.416666666666664,No action
82,60.75,Hold
83,44.0,No action
84,41.75,No action
85,43.5,Skip
86,56.416666666666664,No action
87,53.833333333333336,No action
88,51.833333333333336,No action
89,35.25,Hold
90,43.666666666666664,Skip
91,47.333333333333336,No action
92,49.666666666666664,No action
93,50.333333333333336,No action
94,36.25,No action
95,38.5,Hold
96,31.666666666666668,No action
97,32.583333333333336,Hold
98,33.583333333333336,Skip
99,34.333333333333336,Skip
100,43.0,No action
101,43.5,No action
102,44.5,No action
103,41.333333333333336,No action
104,36.083333333333336,No action
105,29.583333333333332,Hold
106,30.416666666666668,Skip
107,33.75,No action
108,35.833333333333336,No action
109,23.083333333333332,No action
110,23.75,No action
111,23.25,No action
112,24.083333333333332,Skip
113,26.25,No action
114,19.75,No action
115,20.333333333333332,Hold
116,18.5,Skip
117,21.833333333333332,No action
118,23.083333333333332,No action
119,23.916666666666668,No action
120,23.25,No action
121,24.416666666666668,No action
122,17.916666666666668,Skip
123,22.916666666666668,No action
124,27.916666666666668,No action
125,21.833333333333332,No action
126,24.333333333333332,Hold
127,24.583333333333332,Skip
128,29.083333333333332,No action
129,30.083333333333332,No action
130,27.833333333333332,No action
131,31.333333333333332,No action
132,32.0,Hold
133,32.25,Skip
134,34.5,No action
135,35.083333333333336,No action
136,22.333333333333332,No action
137,26.25,Hold
138,27.25,No action
139,27.75,Hold
140,15.5,Skip
141,19.416666666666668,No action
142,27.416666666666668,No action
143,21.75,No action
144,22.75,Hold
145,16.166666666666668,Skip
146,21.166666666666668,No action
147,25.833333333333332,No action
148,22.333333333333332,No action
149,20.583333333333332,Hold
150,24.5,No action
151,27.75,No action
152,28.333333333333332,No action
153,21.916666666666668,Skip
154,20.25,No action
155,20.333333333333332,Hold
156,24.166666666666668,No action
157,24.416666666666668,No action
158,25.583333333333332,Skip
159,21.416666666666668,No action
160,25.416666666666668,No action
161,30.833333333333332,Hold
162,30.416666666666668,No action
163,27.166666666666668,Skip
164,27.666666666666668,No action
165,31.166666666666668,No action
166,39.583333333333336,Hold
167,40.916666666666664,No action
168,33.583333333333336,No action
169,20.666666666666668,No action
170,26.5,No action
171,28.75,Hold
172,24.666666666666668,No action
173,24.166666666666668,No action
174,23.666666666666668,Skip
175,31.75,No action
176,50.75,No action
177,51.583333333333336,Hold
178,52.416666666666664,No action
179,38.75,Skip
180,37.916666666666664,No action
181,47.916666666666664,No action
182,47.166666666666664,Hold
183,48.0,No action
184,45.583333333333336,No action
185,46.916666666666664,Skip
186,38.083333333333336,No action
187,37.0,No action
188,39.25,No action
189,41.916666666666664,Hold
190,41.916666666666664,Skip
191,42.583333333333336,No action
192,32.583333333333336,No action
193,29.583333333333332,No action
194,35.666666666666664,No action
195,36.333333333333336,No action
196,29.583333333333332,Hold
197,30.75,No action
198,31.333333333333332,Skip
199,37.166666666666664,No action
200,37.666666666666664,No action
201,42.666666666666664,No action
202,49.333333333333336,Hold
203,55.166666666666664,No action
204,39.333333333333336,No action
205,49.5,No action
206,45.5,No action
207,44.333333333333336,Skip
208,45.5,Hold
209,37.0,No action
210,37.5,No action
211,41.0,No action
212,37.916666666666664,No action
213,39.0,Skip
214,40.75,No action
215,41.333333333333336,Hold
216,41.916666666666664,Hold
217,23.166666666666668,No action
218,36.166666666666664,Skip
219,36.666666666666664,No action
220,32.916666666666664,No action
221,26.083333333333332,Hold
222,26.916666666666668,Hold
223,20.75,Skip
224,28.25,No action
225,28.75,No action
226,24.583333333333332,Skip
227,26.0,Hold
228,28.583333333333332,Hold
229,29.916666666666668,No action
230,29.416666666666668,No action
231,30.166666666666668,No action
232,30.666666666666668,Skip
233,32.166666666666664,No action
234,34.166666666666664,Hold
235,35.166666666666664,No action
236,15.916666666666666,No action
237,23.5,No action
238,27.0,No action
239,28.333333333333332,Hold
240,28.666666666666668,No action
241,29.333333333333332,Skip
242,39.25,No action
243,39.666666666666664,Hold
244,38.666666666666664,No action
245,43.75,Hold
246,44.166666666666664,Skip
247,31.416666666666668,Skip
248,39.083333333333336,No action
249,39.583333333333336,No action
250,47.0,Hold
251,50.333333333333336,No action
252,51.666666666666664,Skip
253,40.25,No action
254,49.75,No action
255,61.916666666666664,Hold
256,62.833333333333336,No action
257,63.666666666666664,Hold
258,59.25,No action
259,58.333333333333336,Skip
260,55.75,No action
261,56.5,No action
262,55.166666666666664,Hold
263,56.5,No action
264,57.833333333333336,Skip
265,50.333333333333336,No action
266,58.166666666666664,No action
267,62.333333333333336,Hold
268,64.33333333333333,Skip
269,58.25,Skip
270,57.666666666666664,No action
271,59.583333333333336,Hold
272,60.166666666666664,Hold
273,60.833333333333336,Skip
274,57.666666666666664,Hold
275,41.833333333333336,Skip
276,51.333333333333336,No action
277,51.833333333333336,No action
278,53.0,Hold
279,41.5,Hold
280,45.333333333333336,Skip
281,50.666666666666664,No action
282,50.75,No action
283,43.333333333333336,Hold
284,45.083333333333336,Skip
285,50.916666666666664,Hold
286,52.416666666666664,Skip
287,62.916666666666664,No action
288,69.66666666666667,No action
289,62.333333333333336,Hold
290,65.0,Hold
291,66.33333333333333,Skip
292,66.75,No action
293,49.0,No action
294,53.666666666666664,No action
295,47.666666666666664,Hold
296,50.0,No action
297,51.166666666666664,Skip
298,46.25,No action
299,53.25,No action
300,48.666666666666664,No action
301,48.333333333333336,Hold
302,54.666666666666664,Skip
303,55.166666666666664,No action
304,40.583333333333336,No action
305,42.25,No action
306,42.333333333333336,No action
307,46.333333333333336,Hold
308,33.833333333333336,No action
309,36.166666666666664,Skip
310,36.75,No action
311,37.166666666666664,No action
312,46.333333333333336,No action
313,48.0,No action
314,45.416666666666664,Hold
315,34.583333333333336,Skip
316,35.916666666666664,No action
317,37.5,No action
318,38.666666666666664,No action
319,45.25,No action
320,50.166666666666664,Hold
321,51.916666666666664,Hold
322,47.0,No action
323,38.75,Skip
324,40.833333333333336,No action
325,41.25,Skip
326,42.25,Hold
327,44.333333333333336,No action
328,44.75,No action
329,46.083333333333336,No action
330,46.416666666666664,Hold
331,39.0,Skip
332,38.083333333333336,Hold
333,41.583333333333336,No action
334,46.333333333333336,No action
335,50.166666666666664,Hold
336,51.5,Skip
337,44.416666666666664,Hold
338,47.416666666666664,Hold
339,47.916666666666664,No action
340,48.5,No action
341,48.25,No action
342,34.083333333333336,Skip
343,41.25,Hold
344,46.5,No action
345,47.083333333333336,Hold
346,48.25,Hold
347,30.166666666666668,No action
348,45.25,Hold
349,50.5,No action
350,52.0,Hold
351,52.25,No action
352,62.583333333333336,No action
353,63.083333333333336,Hold
354,64.41666666666667,Skip
355,67.08333333333333,Hold
356,66.41666666666667,No action
357,75.08333333333333,No action
358,61.833333333333336,Hold
359,74.58333333333333,Hold
360,75.25,Hold
361,76.25,Hold
362,80.33333333333333,No action
363,82.08333333333333,Skip
364,90.25,Hold
365,97.83333333333333,No action
366,75.41666666666667,Hold
367,75.91666666666667,No action
368,76.41666666666667,Skip
369,77.41666666666667,Hold
370,87.91666666666667,No action
371,88.41666666666667,Hold
372,69.16666666666667,Skip
373,70.0,Hold
374,76.0,Hold
375,78.33333333333333,Hold
376,83.0,No action
377,63.25,No action
378,65.91666666666667,Skip
379,69.33333333333333,Hold
380,75.16666666666667,Hold
381,55.166666666666664,No action
382,55.666666666666664,Hold
383,55.333333333333336,Skip
384,66.33333333333333,Hold
385,67.41666666666667,Hold
386,71.16666666666667,Hold
387,72.41666666666667,Skip
388,60.916666666666664,Hold
389,60.583333333333336,Hold
390,67.58333333333333,No action
391,68.58333333333333,No action
392,60.666666666666664,Skip
393,48.0,No action
394,48.75,Hold
395,51.666666666666664,Hold
396,53.416666666666664,Hold
397,55.666666666666664,No action
398,53.833333333333336,No action
399,55.333333333333336,Skip
400,67.41666666666667,Hold
401,68.08333333333333,Hold
402,72.75,Hold
403,73.33333333333333,Skip
404,73.91666666666667,Skip
405,51.25,Skip
406,67.66666666666667,Hold
407,68.0,Hold
408,67.0,No action
409,69.5,Hold
410,70.08333333333333,Skip
411,63.75,Hold
412,66.41666666666667,Hold
413,69.08333333333333,No action
414,71.41666666666667,Hold
415,78.16666666666667,Skip
416,77.0,Hold
417,80.75,No action
418,64.0,No action
419,64.83333333333333,Hold
420,65.5,Hold
421,68.16666666666667,Skip
422,76.16666666666667,No action
423,77.66666666666667,Hold
424,68.41666666666667,No action
425,71.91666666666667,Hold
426,74.0,No action
427,53.833333333333336,Skip
428,59.0,No action
429,40.75,No action
430,41.25,Hold
431,49.25,Hold
432,55.666666666666664,No action
433,44.166666666666664,Skip
434,47.166666666666664,No action
435,53.0,Hold
